symbol,tier,entry_date,entry_price,stop_loss,tp_level,raw_rr,r1,r2,r3,r1_hit,r1_days,r2_hit,r2_days,r3_hit,r3_days,sl_hit,sl_days,tp_hit_before_sl,r1_hit_before_sl,r2_hit_before_sl,exit_date,exit_reason,exit_price,hold_days,pnl_r1,pnl_r2,close_d5,close_d7,close_d10,close_d14,close_d21,f_btc_rsi_floor,f_token_rsi_momentum,f_rr_min,f_di_bullish,f_adx_trend,f_mt_regime,f_bollinger,f_rvol,f_rsi_cap,btc_rsi,token_rsi,adx,di_plus,di_minus,mt_regime
MKR,all,2023-03-10,809.0,695,925,1.02,925,0.0,0.0,False,0,False,0,False,0,True,2,False,False,False,2023-03-11,SL,695,2,-14.09,-14.09,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True,True,True,False,True,0.0,52.23,28.97,21.35,18.59,U
MKR,all,2023-03-22,691.0,553.0,860,1.24,860,0.0,0.0,False,0,False,0,False,0,False,0,False,False,False,2023-04-20,TIMEOUT,716.0,30,3.62,3.62,669.0,674.0,686.0,681.0,726.0,False,False,True,False,True,True,True,False,True,0.0,46.83,22.44,14.97,26.17,T
MKR,all,2023-04-30,708.0,655,790,1.55,790,910,0.0,False,0,False,0,False,0,True,9,False,False,False,2023-05-08,SL,655,9,-7.49,-7.49,690.0,690.0,0.0,0.0,0.0,False,False,True,True,False,True,True,False,True,0.0,44.26,12.87,18.25,17.5,T
MKR,all,2023-06-03,662.0,623.0,695,0.85,695,715,780,True,2,False,0,False,0,True,5,True,True,False,2023-06-07,SL,623.0,5,4.98,-5.89,623.0,0.0,0.0,0.0,0.0,False,True,False,True,True,True,False,False,True,0.0,64.58,24.42,20.99,17.68,T
MKR,all,2023-06-16,646.0,553.0,695,0.51,695,780,910,True,4,True,15,True,18,False,0,True,True,True,2023-07-15,TIMEOUT,891.0,30,7.59,20.74,729.0,739.0,704.0,687.0,967.0,False,False,False,False,True,True,True,False,True,0.0,48.91,26.89,12.26,26.51,T
MKR,all,2023-07-17,970.0,685,1080,0.38,1080,0.0,0.0,True,5,False,0,False,0,False,0,True,True,False,2023-08-15,TIMEOUT,1232.0,30,11.34,27.01,1093.0,1089.0,1185.0,1251.0,1222.0,False,False,False,True,True,True,True,True,True,0.0,50.68,30.51,27.15,11.86,U
MKR,all,2023-08-17,1133.0,995,1250,0.85,1250,1338,0.0,False,0,False,0,False,0,True,1,False,False,False,2023-08-17,SL,995,1,-12.18,-12.18,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,True,True,True,True,40.98,31.22,33.15,21.95,25.44,U
MKR,all,2023-08-19,1070.0,995,1250,2.4,1250,1338,0.0,False,0,False,0,False,0,True,7,False,False,False,2023-08-25,SL,995,7,-7.01,-7.01,1074.0,1014.0,0.0,0.0,0.0,False,False,True,False,True,True,True,False,True,3.3,25.61,32.24,17.73,30.57,T
MKR,all,2023-08-27,1041.0,860,1250,1.14,1250,1339,0.0,True,20,True,25,False,0,False,0,True,True,True,2023-09-25,TIMEOUT,1320.0,30,20.08,28.63,1155.0,1140.0,1135.0,1128.0,1270.0,False,False,False,False,True,True,True,False,True,13.71,34.26,31.89,15.38,28.45,T
TRX,top_20,2023-09-10,0.07918,0.073,0.09,1.43,0.09,0.0,0.0,True,22,False,0,False,0,False,0,True,True,False,2023-10-09,TIMEOUT,0.08613,30,13.67,8.78,0.08377,0.08352,0.08455,0.08362,0.0886,False,True,True,True,False,True,False,False,False,24.3,85.57,19.66,23.47,13.79,T
