symbol,entry_ts,exit_ts,entry_price,exit_price,take_profit,stop_loss,raw_rr,exit_reason,hold_hours,pnl_pct,pnl_usd,size_usd
AAVE,2025-06-27 16:00:00+00:00,2025-06-30 20:00:00+00:00,254.0,284.0,284.0,228.0,1.1538461538461537,TP,76,11.811023622047244,11807.48031496063,99970.0
ADA,2025-07-20 20:00:00+00:00,2025-07-21 04:00:00+00:00,0.841,0.895,0.895,0.777,0.8437500000000014,TP,8,6.420927467300838,7172.845291182198,111710.42388674487
BTC,2025-07-23 08:00:00+00:00,2025-07-30 08:00:00+00:00,118100.0,117579.99,123200.0,111200.0,0.7391304347826086,TIMEOUT,168,-0.44031329381879314,-523.144810125098,118811.94991591453
SOL,2025-08-14 12:00:00+00:00,2025-08-18 00:00:00+00:00,196.0,183.0,206.0,183.0,0.7692307692307693,SL,84,-6.63265306122449,-7840.979347414997,118217.84246871842
AVAX,2025-09-09 00:00:00+00:00,2025-09-10 04:00:00+00:00,25.0,27.0,27.0,24.0,2.0,TP,28,8.0,8824.851754987867,110310.64693734833
LINK,2025-10-05 16:00:00+00:00,2025-10-06 16:00:00+00:00,22.0,23.5,23.5,19.5,0.6,TP,24,6.8181818181818175,8118.001916953342,119064.02811531568
ETH,2025-10-07 12:00:00+00:00,2025-10-07 12:00:00+00:00,4590.0,4750.0,4750.0,4395.0,0.8205128205128205,TP,0,3.485838779956427,4430.70090668871,127105.73226063237
DOGE,2025-10-09 00:00:00+00:00,2025-10-09 16:00:00+00:00,0.251,0.241,0.269,0.241,1.8,SL,16,-3.984063745019924,-5237.351519748996,131457.52314569967
UNI,2025-10-10 12:00:00+00:00,2025-10-10 16:00:00+00:00,7.9,7.5,8.4,7.5,1.249999999999999,SL,4,-5.06329113924051,-6387.060804191931,126144.45088279055
HBAR,2025-10-28 20:00:00+00:00,2025-11-03 04:00:00+00:00,0.196,0.182,0.215,0.182,1.3571428571428552,SL,128,-7.1428571428571495,-8548.96760162262,119685.54642271656
BTC,2025-12-07 20:00:00+00:00,2025-12-14 20:00:00+00:00,89300.0,88172.17,98900.0,84700.0,2.0869565217391304,TIMEOUT,168,-1.2629675251959707,-1402.7768541104658,111069.90687609339
TAO,2026-01-09 04:00:00+00:00,2026-01-09 12:00:00+00:00,276.0,294.0,294.0,265.0,1.6363636363636365,TP,8,6.521739130434782,7147.913453087702,109601.33961401143
BNB,2026-01-11 20:00:00+00:00,2026-01-13 16:00:00+00:00,899.0,921.0,921.0,877.0,1.0,TP,44,2.4471635150166855,2855.3311551715424,116679.21402269165
XRP,2026-02-22 12:00:00+00:00,2026-02-28 04:00:00+00:00,1.4,1.3,1.5,1.3,1.0000000000000022,SL,136,-7.142857142857134,-8533.059657776099,119462.83520886554
ETH,2026-03-03 08:00:00+00:00,2026-03-04 12:00:00+00:00,1975.0,2150.0,2150.0,1850.0,1.4,TP,28,8.860759493670885,9823.323970709747,110863.22766943858
ETH,2026-03-06 12:00:00+00:00,2026-03-13 12:00:00+00:00,2025.0,2150.0,2150.0,1850.0,0.7142857142857143,TP,168,6.172839506172839,7445.317936478636,120614.15057095389
HBAR,2026-03-13 16:00:00+00:00,2026-03-20 16:00:00+00:00,0.095,0.09291,0.103,0.089,1.333333333333331,TIMEOUT,168,-2.1999999999999944,-2815.6181757369577,127982.64435168024
XRP,2026-04-07 12:00:00+00:00,2026-04-14 12:00:00+00:00,1.3,1.3745,1.4,1.2,0.9999999999999978,TIMEOUT,168,5.730769230769232,7168.730248678939,125091.93722527006
BTC,2026-04-23 16:00:00+00:00,2026-04-30 16:00:00+00:00,77100.0,76412.8,89300.0,73500.0,3.388888888888889,TIMEOUT,168,-0.8913099870298277,-1178.145332681482,132181.32297692468
SOL,2026-05-12 00:00:00+00:00,2026-05-13 12:00:00+00:00,96.0,93.0,114.0,93.0,6.0,SL,36,-3.125,-4091.3933602482075,130924.58752794264
