breakout_atr_mult,min_confluence,min_touches,min_token_rsi,retest_ttl_hours,max_hold_days,n_published,n_filled,fill_rate_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_pnl_filled_pct,expectancy_per_signal_pct,score,n_tp,n_sl,n_timeout
1.5,0.0,0,0.0,168,7,64,23,35.94,43.48,6.936,-4.176,0.655,0.235,1.129,10,9,3
1.5,0.0,3,0.0,168,7,64,23,35.94,43.48,6.936,-4.176,0.655,0.235,1.129,10,9,3
1.5,50.0,0,0.0,168,7,64,23,35.94,43.48,6.936,-4.176,0.655,0.235,1.129,10,9,3
1.5,0.0,0,55.0,168,7,60,21,35.0,38.1,7.305,-4.176,0.198,0.069,0.317,8,9,3
1.5,0.0,3,55.0,168,7,60,21,35.0,38.1,7.305,-4.176,0.198,0.069,0.317,8,9,3
1.5,50.0,0,55.0,168,7,60,21,35.0,38.1,7.305,-4.176,0.198,0.069,0.317,8,9,3
0.5,0.0,0,55.0,168,7,262,172,65.65,40.7,6.905,-4.725,0.008,0.005,0.069,60,82,28
0.5,0.0,3,55.0,168,7,262,172,65.65,40.7,6.905,-4.725,0.008,0.005,0.069,60,82,28
0.5,50.0,0,55.0,168,7,262,172,65.65,40.7,6.905,-4.725,0.008,0.005,0.069,60,82,28
1.5,0.0,0,0.0,72,7,67,15,22.39,33.33,5.704,-3.462,-0.406,-0.091,-0.352,5,6,3
1.5,0.0,3,0.0,72,7,67,15,22.39,33.33,5.704,-3.462,-0.406,-0.091,-0.352,5,6,3
1.5,50.0,0,0.0,72,7,67,15,22.39,33.33,5.704,-3.462,-0.406,-0.091,-0.352,5,6,3
0.5,0.0,0,55.0,72,7,330,178,53.94,40.45,6.724,-4.882,-0.187,-0.101,-1.348,60,89,24
0.5,0.0,3,55.0,72,7,330,178,53.94,40.45,6.724,-4.882,-0.187,-0.101,-1.348,60,89,24
0.5,50.0,0,55.0,72,7,330,178,53.94,40.45,6.724,-4.882,-0.187,-0.101,-1.348,60,89,24
1.5,0.0,0,0.0,168,14,64,23,35.94,43.48,6.936,-6.127,-0.448,-0.161,-0.772,10,12,0
1.5,0.0,3,0.0,168,14,64,23,35.94,43.48,6.936,-6.127,-0.448,-0.161,-0.772,10,12,0
1.5,50.0,0,0.0,168,14,64,23,35.94,43.48,6.936,-6.127,-0.448,-0.161,-0.772,10,12,0
0.5,0.0,0,55.0,168,14,262,172,65.65,41.28,7.294,-5.578,-0.264,-0.174,-2.277,66,94,9
0.5,0.0,3,55.0,168,14,262,172,65.65,41.28,7.294,-5.578,-0.264,-0.174,-2.277,66,94,9
0.5,50.0,0,55.0,168,14,262,172,65.65,41.28,7.294,-5.578,-0.264,-0.174,-2.277,66,94,9
0.5,0.0,0,0.0,168,7,309,206,66.67,40.29,7.047,-5.274,-0.31,-0.207,-2.966,70,102,32
0.5,0.0,3,0.0,168,7,309,206,66.67,40.29,7.047,-5.274,-0.31,-0.207,-2.966,70,102,32
0.5,50.0,0,0.0,168,7,309,206,66.67,40.29,7.047,-5.274,-0.31,-0.207,-2.966,70,102,32
0.5,0.0,0,0.0,72,7,395,218,55.19,40.37,6.811,-5.25,-0.381,-0.21,-3.106,72,107,33
0.5,0.0,3,0.0,72,7,395,218,55.19,40.37,6.811,-5.25,-0.381,-0.21,-3.106,72,107,33
0.5,50.0,0,0.0,72,7,395,218,55.19,40.37,6.811,-5.25,-0.381,-0.21,-3.106,72,107,33
0.5,0.0,0,0.0,72,14,395,218,55.19,40.83,7.604,-5.922,-0.4,-0.221,-3.259,83,119,9
0.5,0.0,3,0.0,72,14,395,218,55.19,40.83,7.604,-5.922,-0.4,-0.221,-3.259,83,119,9
0.5,50.0,0,0.0,72,14,395,218,55.19,40.83,7.604,-5.922,-0.4,-0.221,-3.259,83,119,9
0.5,0.0,0,0.0,168,14,309,206,66.67,40.78,7.891,-6.017,-0.345,-0.23,-3.304,80,115,8
0.5,0.0,3,0.0,168,14,309,206,66.67,40.78,7.891,-6.017,-0.345,-0.23,-3.304,80,115,8
0.5,50.0,0,0.0,168,14,309,206,66.67,40.78,7.891,-6.017,-0.345,-0.23,-3.304,80,115,8
0.5,0.0,0,55.0,72,14,330,178,53.94,39.89,7.089,-5.459,-0.454,-0.245,-3.266,65,98,9
0.5,0.0,3,55.0,72,14,330,178,53.94,39.89,7.089,-5.459,-0.454,-0.245,-3.266,65,98,9
0.5,50.0,0,55.0,72,14,330,178,53.94,39.89,7.089,-5.459,-0.454,-0.245,-3.266,65,98,9
1.5,0.0,0,55.0,72,7,63,13,20.63,23.08,5.869,-3.462,-1.309,-0.27,-0.974,3,6,3
1.5,0.0,3,55.0,72,7,63,13,20.63,23.08,5.869,-3.462,-1.309,-0.27,-0.974,3,6,3
1.5,50.0,0,55.0,72,7,63,13,20.63,23.08,5.869,-3.462,-1.309,-0.27,-0.974,3,6,3
1.5,0.0,0,55.0,168,14,60,21,35.0,38.1,7.305,-6.127,-1.01,-0.354,-1.62,8,12,0
1.5,0.0,3,55.0,168,14,60,21,35.0,38.1,7.305,-6.127,-1.01,-0.354,-1.62,8,12,0
1.5,50.0,0,55.0,168,14,60,21,35.0,38.1,7.305,-6.127,-1.01,-0.354,-1.62,8,12,0
0.5,50.0,3,55.0,72,14,207,111,53.62,38.74,6.251,-5.217,-0.775,-0.415,-4.377,39,62,4
1.5,0.0,0,0.0,72,14,67,15,22.39,33.33,5.704,-5.675,-1.882,-0.421,-1.632,5,9,0
1.5,0.0,3,0.0,72,14,67,15,22.39,33.33,5.704,-5.675,-1.882,-0.421,-1.632,5,9,0
1.5,50.0,0,0.0,72,14,67,15,22.39,33.33,5.704,-5.675,-1.882,-0.421,-1.632,5,9,0
0.5,50.0,3,55.0,72,7,207,111,53.62,38.74,5.653,-4.939,-0.836,-0.448,-4.722,35,58,12
1.5,50.0,3,0.0,168,7,41,13,31.71,30.77,6.147,-4.83,-1.453,-0.461,-1.661,4,6,2
1.5,50.0,3,55.0,168,7,39,13,33.33,30.77,6.147,-4.83,-1.453,-0.484,-1.746,4,6,2
1.5,50.0,3,0.0,72,7,42,9,21.43,22.22,5.262,-4.469,-2.306,-0.494,-1.483,2,5,1
1.5,50.0,3,55.0,72,7,40,9,22.5,22.22,5.262,-4.469,-2.306,-0.519,-1.557,2,5,1
0.5,50.0,3,55.0,168,7,180,116,64.44,38.79,5.587,-4.914,-0.84,-0.541,-5.831,36,60,17
1.5,50.0,3,0.0,72,14,42,9,21.43,22.22,5.262,-4.94,-2.673,-0.573,-1.718,2,6,0
0.5,50.0,3,55.0,168,14,180,116,64.44,38.79,6.231,-5.414,-0.896,-0.578,-6.222,41,67,5
0.5,50.0,3,0.0,72,14,242,132,54.55,37.12,6.942,-5.798,-1.069,-0.583,-6.696,45,76,4
1.5,50.0,3,55.0,72,14,40,9,22.5,22.22,5.262,-4.94,-2.673,-0.601,-1.804,2,6,0
1.5,0.0,0,55.0,72,14,63,13,20.63,23.08,5.869,-5.675,-3.011,-0.621,-2.24,3,9,0
1.5,0.0,3,55.0,72,14,63,13,20.63,23.08,5.869,-5.675,-3.011,-0.621,-2.24,3,9,0
