breakout_atr_mult,min_confluence,min_touches,min_token_rsi,retest_ttl_hours,max_hold_days,major_only,tp_cascade,min_rr,cascade_skipped,n_published,n_filled,fill_rate_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_pnl_filled_pct,expectancy_per_signal_pct,score,n_tp,n_sl,n_timeout
2.0,0.0,0,0.0,168,7,True,False,2.0,0,19,4,21.05,75.0,4.571,-0.003,3.427,0.722,1.443,3,0,1
2.0,0.0,0,55.0,168,7,True,False,2.0,0,19,4,21.05,75.0,4.571,-0.003,3.427,0.722,1.443,3,0,1
2.0,0.0,3,0.0,168,7,True,False,2.0,0,19,4,21.05,75.0,4.571,-0.003,3.427,0.722,1.443,3,0,1
2.0,0.0,3,55.0,168,7,True,False,2.0,0,19,4,21.05,75.0,4.571,-0.003,3.427,0.722,1.443,3,0,1
2.0,50.0,0,0.0,168,7,True,False,2.0,0,19,4,21.05,75.0,4.571,-0.003,3.427,0.722,1.443,3,0,1
2.0,50.0,0,55.0,168,7,True,False,2.0,0,19,4,21.05,75.0,4.571,-0.003,3.427,0.722,1.443,3,0,1
1.5,0.0,0,0.0,168,14,False,True,2.0,27,51,18,35.29,27.78,17.616,-4.31,1.78,0.628,2.666,4,12,1
1.5,0.0,3,0.0,168,14,False,True,2.0,27,51,18,35.29,27.78,17.616,-4.31,1.78,0.628,2.666,4,12,1
1.5,50.0,0,0.0,168,14,False,True,2.0,27,51,18,35.29,27.78,17.616,-4.31,1.78,0.628,2.666,4,12,1
1.5,0.0,0,0.0,168,21,False,True,2.0,27,51,18,35.29,27.78,17.487,-4.31,1.745,0.616,2.612,4,12,1
1.5,0.0,3,0.0,168,21,False,True,2.0,27,51,18,35.29,27.78,17.487,-4.31,1.745,0.616,2.612,4,12,1
1.5,50.0,0,0.0,168,21,False,True,2.0,27,51,18,35.29,27.78,17.487,-4.31,1.745,0.616,2.612,4,12,1
1.5,0.0,0,0.0,168,7,False,True,2.0,27,51,18,35.29,27.78,16.751,-4.057,1.723,0.608,2.58,4,11,2
1.5,0.0,3,0.0,168,7,False,True,2.0,27,51,18,35.29,27.78,16.751,-4.057,1.723,0.608,2.58,4,11,2
1.5,50.0,0,0.0,168,7,False,True,2.0,27,51,18,35.29,27.78,16.751,-4.057,1.723,0.608,2.58,4,11,2
1.5,0.0,0,55.0,168,7,False,True,2.0,27,49,17,34.69,23.53,19.797,-4.057,1.556,0.54,2.226,4,11,1
