start_ts,n_signals_eligible,n_taken,n_skipped_slots_full,final_equity,return_pct
2025-01-01,184,11,173,8673.88,-13.26
2025-02-01,180,7,173,9426.11,-5.74
2025-03-01,178,5,173,9730.64,-2.69
2025-04-01,171,4,167,10000.0,0.0
2025-05-01,156,6,150,10851.0,8.51
2025-06-01,139,6,133,9737.23,-2.63
2025-07-01,133,4,129,10000.0,0.0
2025-08-01,105,8,97,9999.98,-0.0
2025-09-01,97,5,92,10108.5,1.09
2025-10-01,88,10,78,9200.31,-8.0
2025-11-01,80,8,72,10397.21,3.97
2025-12-01,80,8,72,10397.21,3.97
2026-01-01,70,8,62,10296.2,2.96
2026-02-01,57,15,42,11329.49,13.29
2026-03-01,52,12,40,10663.23,6.63
2026-04-01,36,10,26,11009.45,10.09
