symbol,breakout_ts,level,tp,sl,tp_source,expires_at,confluence,touches,tier,breakout_magnitude_atr,token_rsi,btc_rsi,raw_rr,passed_quality,passed_momentum,published,skip_reason,filled,fill_ts,exit_ts,exit_price,exit_reason,pnl_pct,hold_hours
ADA,2025-01-20 08:00:00+00:00,1.021,1.16,0.961,tp1,2025-01-23 08:00:00+00:00,1.0,11,Major,0.5947775628626705,64.24026946107784,81.62801017857447,2.316666666666669,True,True,True,,True,2025-01-20 16:00:00+00:00,2025-01-21 08:00:00+00:00,0.961,SL,-5.936591576885401,16
AAVE,2025-01-20 08:00:00+00:00,315.0,355.0,299.0,tp1,2025-01-23 08:00:00+00:00,1.0,0,Minor,0.9931566941568699,72.73805757671624,81.62801017857447,2.5,False,True,False,quality,False,,,0.0,,0.0,0
AVAX,2025-01-20 08:00:00+00:00,36.0,44.0,32.925714285714285,tp2,2025-01-23 08:00:00+00:00,2.0,3,Major,0.725371747211895,54.68749999999998,81.62801017857447,2.602230483271375,True,True,True,,True,2025-01-20 16:00:00+00:00,2025-01-27 12:00:00+00:00,32.925714285714285,SL,-8.599682539682542,164
NEAR,2025-01-20 08:00:00+00:00,5.1,5.7,4.8,tp1,2025-01-23 08:00:00+00:00,1.0,7,Major,0.6725826193390455,55.74973785389724,81.62801017857447,2.000000000000003,True,True,True,,True,2025-01-20 16:00:00+00:00,2025-01-26 20:00:00+00:00,4.8,SL,-5.942352941176467,148
AAVE,2025-01-20 12:00:00+00:00,315.0,355.0,299.0,tp1,2025-01-23 12:00:00+00:00,1.0,0,Minor,1.119494648183891,73.49277145493694,78.29406260162426,2.5,False,True,False,quality,False,,,0.0,,0.0,0
AAVE,2025-01-20 16:00:00+00:00,315.0,355.0,299.0,tp1,2025-01-23 16:00:00+00:00,1.0,0,Minor,1.4188454114756974,75.12448581944145,76.65935571657624,2.5,False,True,False,quality,False,,,0.0,,0.0,0
AAVE,2025-01-20 20:00:00+00:00,315.0,355.0,299.0,tp1,2025-01-23 20:00:00+00:00,1.0,0,Minor,0.7906650289524467,71.43449075992376,74.48720498929364,2.5,False,True,False,quality,False,,,0.0,,0.0,0
AAVE,2025-01-30 12:00:00+00:00,299.0,355.0,281.0,tp2,2025-02-02 12:00:00+00:00,1.0,1,Major,0.5278841870824056,42.87974683544305,60.833983133824375,3.111111111111111,False,False,False,quality,True,2025-02-01 20:00:00+00:00,2025-02-02 16:00:00+00:00,281.0,SL,-6.080066889632107,20
HYPE,2025-01-30 12:00:00+00:00,25.0,32.5,22.0,tp2,2025-02-02 12:00:00+00:00,1.0,19,Major,0.7806184562941316,71.61543492478744,60.833983133824375,2.5,True,True,True,,True,2025-02-01 20:00:00+00:00,2025-02-02 16:00:00+00:00,22.0,SL,-12.06,20
AAVE,2025-01-30 16:00:00+00:00,299.0,355.0,281.0,tp2,2025-02-02 16:00:00+00:00,1.0,1,Major,0.6628953229398661,44.46509839112878,61.208635747755544,3.111111111111111,False,False,False,quality,True,2025-02-01 20:00:00+00:00,2025-02-02 16:00:00+00:00,281.0,SL,-6.080066889632107,20
HYPE,2025-01-30 16:00:00+00:00,25.0,32.5,22.0,tp2,2025-02-02 16:00:00+00:00,1.0,19,Major,0.6579011443876307,70.93101138647019,61.208635747755544,2.5,True,True,False,per_token_cap,True,2025-02-01 20:00:00+00:00,2025-02-02 16:00:00+00:00,22.0,SL,-12.06,20
AAVE,2025-01-30 20:00:00+00:00,299.0,355.0,281.0,tp2,2025-02-02 20:00:00+00:00,1.0,1,Major,0.5126057906458797,42.69462266022886,58.54756056169101,3.111111111111111,False,False,False,quality,True,2025-02-01 20:00:00+00:00,2025-02-02 16:00:00+00:00,281.0,SL,-6.080066889632107,20
HYPE,2025-01-30 20:00:00+00:00,25.0,32.5,22.0,tp2,2025-02-02 20:00:00+00:00,1.0,19,Major,0.9135622108595081,72.32142857142857,58.54756056169101,2.5,True,True,False,per_token_cap,True,2025-02-01 20:00:00+00:00,2025-02-02 16:00:00+00:00,22.0,SL,-12.06,20
TAO,2025-02-20 16:00:00+00:00,426.0,504.0,399.0,tp2,2025-02-23 16:00:00+00:00,1.0,13,Major,0.7581403447675438,68.09499225606608,54.671764267064496,2.888888888888889,True,True,True,,True,2025-02-22 04:00:00+00:00,2025-02-24 20:00:00+00:00,399.0,SL,-6.398028169014084,64
TAO,2025-02-20 20:00:00+00:00,426.0,504.0,399.0,tp2,2025-02-23 20:00:00+00:00,1.0,13,Major,0.972662371582796,69.48148148148147,54.16317425725973,2.888888888888889,True,True,False,per_token_cap,True,2025-02-22 04:00:00+00:00,2025-02-24 20:00:00+00:00,399.0,SL,-6.398028169014084,64
NEAR,2025-02-20 20:00:00+00:00,3.3,3.8,3.1,tp2,2025-02-23 20:00:00+00:00,2.0,8,Major,0.6370572207084477,60.588716271463596,54.16317425725973,2.5000000000000036,True,True,True,,True,2025-02-21 16:00:00+00:00,2025-02-24 20:00:00+00:00,3.1,SL,-6.120606060606053,76
XRP,2025-03-19 12:00:00+00:00,2.3,2.7,2.1,tp2,2025-03-22 12:00:00+00:00,2.0,1,Major,1.4583810302534774,71.87467143307748,60.24136623946074,2.0000000000000044,False,True,False,quality,False,,,0.0,,0.0,0
HYPE,2025-03-19 12:00:00+00:00,14.5,20.0,13.0,tp2,2025-03-22 12:00:00+00:00,1.0,1,Minor,0.5021236432279377,56.22641509433962,60.24136623946074,3.6666666666666665,False,True,False,quality,True,2025-03-19 16:00:00+00:00,2025-03-26 16:00:00+00:00,13.0,SL,-10.404827586206897,168
UNI,2025-03-19 12:00:00+00:00,6.5,7.7,6.1,tp2,2025-03-22 12:00:00+00:00,1.0,1,Major,0.8441148193929409,62.31818181818181,60.24136623946074,2.999999999999998,False,True,False,quality,False,,,0.0,,0.0,0
XRP,2025-03-19 16:00:00+00:00,2.3,2.7,2.1,tp2,2025-03-22 16:00:00+00:00,2.0,1,Major,1.0743254292722813,69.73981900452488,61.618254491401444,2.0000000000000044,False,True,False,quality,False,,,0.0,,0.0,0
SUI,2025-03-19 16:00:00+00:00,2.3,2.8,2.1,tp2,2025-03-22 16:00:00+00:00,1.0,1,Minor,0.515134741442098,55.627937659767454,61.618254491401444,2.5000000000000036,False,True,False,quality,True,2025-03-21 04:00:00+00:00,2025-03-27 08:00:00+00:00,2.8,TP,21.67913043478261,148
UNI,2025-03-19 16:00:00+00:00,6.5,7.7,6.1,tp2,2025-03-22 16:00:00+00:00,1.0,1,Major,0.8633429473973355,62.48868778280542,61.618254491401444,2.999999999999998,False,True,False,quality,False,,,0.0,,0.0,0
XRP,2025-03-19 20:00:00+00:00,2.3,2.7,2.1,tp2,2025-03-22 20:00:00+00:00,2.0,1,Major,1.4131643499591178,71.63910093299405,64.12420747960837,2.0000000000000044,False,True,False,quality,False,,,0.0,,0.0,0
