symbol,breakout_ts,level,tp1,tp2,sl,expires_at,tier,confluence,touches,breakout_magnitude_atr,token_rsi,btc_rsi,raw_rr,published,skip_reason,filled,fill_ts,tp1_hit_ts,tp2_hit_ts,sl_hit_ts,tp1_hold_hours,tp2_hold_hours,exit_ts,exit_price,exit_reason,pnl_pct,hold_hours
BTC,2025-01-20 08:00:00+00:00,104100.0,108400.0,0.0,99400.0,2025-01-23 08:00:00+00:00,Major,2.0,9,0.974660265436655,81.62801017857447,81.62801017857447,0.9148936170212766,True,,True,2025-01-20 16:00:00+00:00,,,2025-01-27 04:00:00+00:00,,,2025-01-27 04:00:00+00:00,99400.0,SL,-4.57488952929875,156
ADA,2025-01-20 08:00:00+00:00,1.021,1.16,1.326,0.961,2025-01-23 08:00:00+00:00,Major,1.0,11,0.5947775628626705,64.24026946107784,81.62801017857447,2.316666666666669,True,,True,2025-01-20 16:00:00+00:00,,,2025-01-21 08:00:00+00:00,,,2025-01-21 08:00:00+00:00,0.961,SL,-5.936591576885401,16
AAVE,2025-01-20 08:00:00+00:00,315.0,355.0,384.0,299.0,2025-01-23 08:00:00+00:00,Minor,1.0,0,0.9931566941568699,72.73805757671624,81.62801017857447,2.5,False,quality,False,,,,,,,,0.0,,0.0,0
AVAX,2025-01-20 08:00:00+00:00,36.0,39.0,44.0,32.925714285714285,2025-01-23 08:00:00+00:00,Major,2.0,3,0.725371747211895,54.68749999999998,81.62801017857447,0.9758364312267657,True,,True,2025-01-20 16:00:00+00:00,,,2025-01-27 12:00:00+00:00,,,2025-01-27 12:00:00+00:00,32.925714285714285,SL,-8.599682539682542,164
NEAR,2025-01-20 08:00:00+00:00,5.1,5.7,6.4,4.8,2025-01-23 08:00:00+00:00,Major,1.0,7,0.6725826193390455,55.74973785389724,81.62801017857447,2.000000000000003,True,,True,2025-01-20 16:00:00+00:00,,,2025-01-26 20:00:00+00:00,,,2025-01-26 20:00:00+00:00,4.8,SL,-5.942352941176467,148
UNI,2025-01-20 08:00:00+00:00,13.5,15.5,17.5,11.0,2025-01-23 08:00:00+00:00,Major,3.0,4,0.6333062956261307,52.13341346153845,81.62801017857447,0.8,True,,True,2025-01-20 16:00:00+00:00,,,2025-01-27 04:00:00+00:00,,,2025-01-27 04:00:00+00:00,11.0,SL,-18.578518518518518,156
AAVE,2025-01-20 12:00:00+00:00,315.0,355.0,384.0,299.0,2025-01-23 12:00:00+00:00,Minor,1.0,0,1.119494648183891,73.49277145493694,78.29406260162426,2.5,False,quality,False,,,,,,,,0.0,,0.0,0
AAVE,2025-01-20 16:00:00+00:00,315.0,355.0,384.0,299.0,2025-01-23 16:00:00+00:00,Minor,1.0,0,1.4188454114756974,75.12448581944145,76.65935571657624,2.5,False,quality,False,,,,,,,,0.0,,0.0,0
AAVE,2025-01-20 20:00:00+00:00,315.0,355.0,384.0,299.0,2025-01-23 20:00:00+00:00,Minor,1.0,0,0.7906650289524467,71.43449075992376,74.48720498929364,2.5,False,quality,False,,,,,,,,0.0,,0.0,0
LINK,2025-01-21 16:00:00+00:00,25.0,28.5,0.0,22.0,2025-01-24 16:00:00+00:00,Major,1.0,1,0.760666666666666,81.8452380952381,81.0340738595655,1.1666666666666667,False,quality,True,2025-01-23 00:00:00+00:00,,,2025-02-02 12:00:00+00:00,,,2025-02-02 12:00:00+00:00,22.0,SL,-12.06,252
