max_slots,per_token_cap,per_slot_fraction,start_ts,n_eligible,n_taken,n_realized,n_skipped_slots,n_skipped_token_cap,initial_capital,final_equity,total_return_pct,cagr_pct,max_dd_pct,monthly_sharpe,calmar,win_rate_pct,avg_win_pct,avg_loss_pct,btc_filter
1,1,1.0,all,1242,1,0,1241,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
1,2,1.0,all,1242,1,0,1241,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
1,3,1.0,all,1242,1,0,1241,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
2,1,0.5,all,1242,3,1,1239,0,10000.0,10797.0,7.97,7.32,0.0,0.0,0.0,100.0,15.94,0.0,OFF
2,2,0.5,all,1242,3,1,1239,0,10000.0,10797.0,7.97,7.32,0.0,0.0,0.0,100.0,15.94,0.0,OFF
2,3,0.5,all,1242,3,1,1239,0,10000.0,10797.0,7.97,7.32,0.0,0.0,0.0,100.0,15.94,0.0,OFF
3,1,0.3333333333333333,all,1242,4,1,1238,0,10000.0,10531.33,5.31,4.88,0.0,0.0,0.0,100.0,15.94,0.0,OFF
3,2,0.3333333333333333,all,1242,4,1,1238,0,10000.0,10531.33,5.31,4.88,0.0,0.0,0.0,100.0,15.94,0.0,OFF
3,3,0.3333333333333333,all,1242,4,1,1238,0,10000.0,10531.33,5.31,4.88,0.0,0.0,0.0,100.0,15.94,0.0,OFF
4,1,0.25,all,1242,5,1,1237,0,10000.0,10398.5,3.98,3.66,0.0,0.0,0.0,100.0,15.94,0.0,OFF
4,2,0.25,all,1242,5,1,1237,0,10000.0,10398.5,3.98,3.66,0.0,0.0,0.0,100.0,15.94,0.0,OFF
4,3,0.25,all,1242,5,1,1237,0,10000.0,10398.5,3.98,3.66,0.0,0.0,0.0,100.0,15.94,0.0,OFF
5,1,0.2,all,1242,7,2,1235,0,10000.0,10425.71,4.26,3.91,0.0,0.0,0.0,100.0,10.64,0.0,OFF
5,2,0.2,all,1242,7,2,1235,0,10000.0,10425.71,4.26,3.91,0.0,0.0,0.0,100.0,10.64,0.0,OFF
5,3,0.2,all,1242,7,2,1235,0,10000.0,10425.71,4.26,3.91,0.0,0.0,0.0,100.0,10.64,0.0,OFF
1,1,1.0,all,432,1,0,431,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ON
1,2,1.0,all,432,1,0,431,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ON
1,3,1.0,all,432,1,0,431,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ON
2,1,0.5,all,432,7,5,425,0,10000.0,11659.48,16.59,48.29,0.0,1.55,0.0,100.0,6.29,0.0,ON
2,2,0.5,all,432,7,5,425,0,10000.0,11659.48,16.59,48.29,0.0,1.55,0.0,100.0,6.29,0.0,ON
2,3,0.5,all,432,7,5,425,0,10000.0,11659.48,16.59,48.29,0.0,1.55,0.0,100.0,6.29,0.0,ON
3,1,0.3333333333333333,all,432,8,5,424,0,10000.0,11086.71,10.87,30.31,0.0,1.55,0.0,100.0,6.29,0.0,ON
3,2,0.3333333333333333,all,432,8,5,424,0,10000.0,11086.71,10.87,30.31,0.0,1.55,0.0,100.0,6.29,0.0,ON
3,3,0.3333333333333333,all,432,8,5,424,0,10000.0,11086.71,10.87,30.31,0.0,1.55,0.0,100.0,6.29,0.0,ON
4,1,0.25,all,432,9,5,423,0,10000.0,10807.77,8.08,22.06,0.0,1.55,0.0,100.0,6.29,0.0,ON
4,2,0.25,all,432,9,5,423,0,10000.0,10807.77,8.08,22.06,0.0,1.55,0.0,100.0,6.29,0.0,ON
4,3,0.25,all,432,9,5,423,0,10000.0,10807.77,8.08,22.06,0.0,1.55,0.0,100.0,6.29,0.0,ON
5,1,0.2,all,432,10,5,422,0,10000.0,10642.75,6.43,17.33,0.0,1.55,0.0,100.0,6.29,0.0,ON
5,2,0.2,all,432,10,5,422,0,10000.0,10642.75,6.43,17.33,0.0,1.55,0.0,100.0,6.29,0.0,ON
5,3,0.2,all,432,10,5,422,0,10000.0,10642.75,6.43,17.33,0.0,1.55,0.0,100.0,6.29,0.0,ON
