max_slots,per_token_cap,per_slot_fraction,start_ts,n_eligible,n_taken,n_realized,n_skipped_slots,n_skipped_token_cap,initial_capital,final_equity,total_return_pct,cagr_pct,max_dd_pct,monthly_sharpe,calmar,win_rate_pct,avg_win_pct,avg_loss_pct,btc_filter
1,1,1.0,2025-04-01,1242,1,0,1241,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
4,1,0.25,2025-04-01,1242,5,1,1237,0,10000.0,10398.5,3.98,3.57,0.0,0.0,0.0,100.0,15.94,0.0,OFF
12,1,0.08333333333333333,2025-04-01,1242,22,10,1218,2,10000.0,10515.96,5.16,4.61,-0.66,-0.96,6.95,80.0,8.7,-4.02,OFF
1,1,1.0,2025-05-01,1143,3,2,1140,0,10000.0,9999.39,-0.01,-0.01,-5.65,0.0,-0.0,50.0,5.98,-5.65,OFF
4,1,0.25,2025-05-01,1143,10,6,1133,0,10000.0,11294.89,12.95,12.51,-3.0,0.0,4.17,66.7,16.05,-6.0,OFF
12,1,0.08333333333333333,2025-05-01,1143,23,11,1119,1,10000.0,10695.62,6.96,6.73,-1.0,0.0,6.72,72.7,12.22,-4.7,OFF
1,1,1.0,2025-06-01,1027,2,1,1025,0,10000.0,12413.35,24.13,25.61,0.0,0.0,0.0,100.0,24.13,0.0,OFF
4,1,0.25,2025-06-01,1027,10,6,1015,2,10000.0,10985.99,9.86,10.43,-2.19,1.04,4.77,83.3,9.46,-8.77,OFF
12,1,0.08333333333333333,2025-06-01,1027,26,14,993,8,10000.0,10253.98,2.54,2.68,-1.21,1.04,2.21,57.1,6.76,-3.98,OFF
1,1,1.0,2025-07-01,963,2,1,961,0,10000.0,10369.0,3.69,4.27,0.0,0.0,0.0,100.0,3.69,0.0,OFF
4,1,0.25,2025-07-01,963,6,2,957,0,10000.0,10328.85,3.29,3.81,0.0,0.0,0.0,100.0,6.58,0.0,OFF
12,1,0.08333333333333333,2025-07-01,963,14,2,949,0,10000.0,10109.62,1.1,1.27,0.0,0.0,0.0,100.0,6.58,0.0,OFF
1,1,1.0,2025-08-01,832,1,0,831,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
4,1,0.25,2025-08-01,832,8,4,824,0,10000.0,9480.97,-5.19,-6.6,-5.19,-1.15,-1.27,25.0,1.29,-7.47,OFF
12,1,0.08333333333333333,2025-08-01,832,24,12,797,11,10000.0,10105.43,1.05,1.35,-1.31,1.15,1.04,58.3,5.39,-5.02,OFF
