max_slots,per_token_cap,per_slot_fraction,start_ts,n_eligible,n_taken,n_realized,n_skipped_slots,n_skipped_token_cap,initial_capital,final_equity,total_return_pct,cagr_pct,max_dd_pct,monthly_sharpe,calmar,win_rate_pct,avg_win_pct,avg_loss_pct,btc_filter
1,1,1.0,all,399,3,2,396,0,10000.0,9076.71,-9.23,-7.12,-9.23,-0.87,-0.77,0.0,0.0,-4.73,OFF
1,2,1.0,all,399,3,2,396,0,10000.0,9076.71,-9.23,-7.12,-9.23,-0.87,-0.77,0.0,0.0,-4.73,OFF
1,3,1.0,all,399,3,2,396,0,10000.0,9076.71,-9.23,-7.12,-9.23,-0.87,-0.77,0.0,0.0,-4.73,OFF
2,1,0.5,all,399,5,3,394,0,10000.0,10444.4,4.44,3.37,-4.47,-0.87,0.75,33.3,18.67,-4.73,OFF
2,2,0.5,all,399,5,3,394,0,10000.0,10444.4,4.44,3.37,-4.47,-0.87,0.75,33.3,18.67,-4.73,OFF
2,3,0.5,all,399,5,3,394,0,10000.0,10444.4,4.44,3.37,-4.47,-0.87,0.75,33.3,18.67,-4.73,OFF
3,1,0.3333333333333333,all,399,12,9,385,2,10000.0,11531.95,15.32,11.47,-6.17,0.76,1.86,33.3,23.71,-4.25,OFF
3,2,0.3333333333333333,all,399,7,4,392,0,10000.0,10241.47,2.41,1.83,-3.04,-0.87,0.6,25.0,18.67,-3.75,OFF
3,3,0.3333333333333333,all,399,7,4,392,0,10000.0,10241.47,2.41,1.83,-3.04,-0.87,0.6,25.0,18.67,-3.75,OFF
4,1,0.25,all,399,14,10,383,2,10000.0,11042.13,10.42,7.85,-4.65,0.76,1.69,30.0,23.71,-4.2,OFF
4,2,0.25,all,399,9,5,390,0,10000.0,10086.2,0.86,0.66,-2.31,-0.87,0.28,20.0,18.67,-3.78,OFF
4,3,0.25,all,399,9,5,390,0,10000.0,10086.2,0.86,0.66,-2.31,-0.87,0.28,20.0,18.67,-3.78,OFF
5,1,0.2,all,399,15,10,382,2,10000.0,10834.06,8.34,6.29,-3.74,0.76,1.68,30.0,23.71,-4.2,OFF
5,2,0.2,all,399,10,5,389,0,10000.0,10069.34,0.69,0.53,-1.86,-0.87,0.28,20.0,18.67,-3.78,OFF
5,3,0.2,all,399,10,5,389,0,10000.0,10069.34,0.69,0.53,-1.86,-0.87,0.28,20.0,18.67,-3.78,OFF
1,1,1.0,all,157,8,7,149,0,10000.0,10398.61,3.99,10.55,-5.91,1.35,1.79,28.6,9.32,-2.68,ON
1,2,1.0,all,157,8,7,149,0,10000.0,10398.61,3.99,10.55,-5.91,1.35,1.79,28.6,9.32,-2.68,ON
1,3,1.0,all,157,8,7,149,0,10000.0,10398.61,3.99,10.55,-5.91,1.35,1.79,28.6,9.32,-2.68,ON
2,1,0.5,all,157,9,7,147,1,10000.0,10089.11,0.89,2.3,-3.36,1.31,0.69,28.6,9.32,-3.22,ON
2,2,0.5,all,157,9,7,148,0,10000.0,10230.51,2.31,6.02,-2.97,1.37,2.03,28.6,9.32,-2.68,ON
2,3,0.5,all,157,9,7,148,0,10000.0,10230.51,2.31,6.02,-2.97,1.37,2.03,28.6,9.32,-2.68,ON
3,1,0.3333333333333333,all,157,13,10,142,2,10000.0,10713.54,7.14,19.35,-1.82,2.51,10.61,50.0,7.75,-3.48,ON
3,2,0.3333333333333333,all,157,13,10,144,0,10000.0,10858.78,8.59,23.54,-1.48,2.41,15.93,50.0,7.75,-2.68,ON
3,3,0.3333333333333333,all,157,13,10,144,0,10000.0,10858.78,8.59,23.54,-1.48,2.41,15.93,50.0,7.75,-2.68,ON
4,1,0.25,all,157,15,11,140,2,10000.0,10452.8,4.53,12.04,-1.37,2.51,8.78,45.5,7.75,-3.43,ON
4,2,0.25,all,157,15,11,142,0,10000.0,10558.8,5.59,14.97,-1.16,2.41,12.92,45.5,7.75,-2.76,ON
4,3,0.25,all,157,15,11,142,0,10000.0,10558.8,5.59,14.97,-1.16,2.41,12.92,45.5,7.75,-2.76,ON
5,1,0.2,all,157,19,14,134,4,10000.0,10559.14,5.59,14.98,-1.86,2.02,8.04,42.9,8.91,-3.21,ON
5,2,0.2,all,157,21,16,136,0,10000.0,10795.72,7.96,21.71,-1.34,2.49,16.15,50.0,7.76,-2.88,ON
5,3,0.2,all,157,21,16,136,0,10000.0,10795.72,7.96,21.71,-1.34,2.49,16.15,50.0,7.76,-2.88,ON
