max_slots,per_token_cap,per_slot_fraction,start_ts,n_eligible,n_taken,n_realized,n_skipped_slots,n_skipped_token_cap,initial_capital,final_equity,total_return_pct,cagr_pct,max_dd_pct,monthly_sharpe,calmar,win_rate_pct,avg_win_pct,avg_loss_pct,btc_filter
1,1,1.0,2025-01-01,399,3,2,396,0,10000.0,9076.71,-9.23,-6.87,-9.23,-0.87,-0.74,0.0,0.0,-4.73,OFF
4,1,0.25,2025-01-01,399,14,10,383,2,10000.0,11042.13,10.42,7.55,-4.65,0.76,1.62,30.0,23.71,-4.2,OFF
12,1,0.08333333333333333,2025-01-01,399,33,21,338,28,10000.0,10342.69,3.43,2.51,-3.24,0.61,0.77,28.6,16.76,-3.93,OFF
1,1,1.0,2025-02-01,386,1,0,385,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
4,1,0.25,2025-02-01,386,17,13,365,4,10000.0,10001.24,0.01,0.01,-9.62,0.33,0.0,23.1,14.2,-4.0,OFF
12,1,0.08333333333333333,2025-02-01,386,33,21,336,17,10000.0,10187.96,1.88,1.47,-3.74,0.57,0.39,33.3,10.78,-3.72,OFF
1,1,1.0,2025-03-01,379,5,4,374,0,10000.0,10043.12,0.43,0.36,-13.38,0.93,0.03,25.0,15.94,-4.66,OFF
4,1,0.25,2025-03-01,379,14,10,364,1,10000.0,10324.26,3.24,2.69,-6.7,0.93,0.4,30.0,14.2,-3.91,OFF
12,1,0.08333333333333333,2025-03-01,379,29,17,336,14,10000.0,10319.59,3.2,2.66,-2.5,1.27,1.06,41.2,10.78,-3.67,OFF
1,1,1.0,2025-04-01,370,2,1,368,0,10000.0,11594.0,15.94,14.18,0.0,0.0,0.0,100.0,15.94,0.0,OFF
4,1,0.25,2025-04-01,370,7,3,362,1,10000.0,11065.32,10.65,9.5,0.0,0.0,0.0,100.0,14.2,0.0,OFF
12,1,0.08333333333333333,2025-04-01,370,21,9,336,13,10000.0,10584.18,5.84,5.22,-0.28,0.96,18.5,77.8,10.78,-3.24,OFF
1,1,1.0,2025-05-01,341,2,1,339,0,10000.0,12181.5,21.82,21.05,0.0,0.0,0.0,100.0,21.81,0.0,OFF
4,1,0.25,2025-05-01,341,8,4,333,0,10000.0,10937.64,9.38,9.06,-0.85,0.0,10.7,75.0,13.64,-3.39,OFF
12,1,0.08333333333333333,2025-05-01,341,16,4,324,1,10000.0,10312.67,3.13,3.03,-0.28,0.0,10.72,75.0,13.64,-3.39,OFF
1,1,1.0,2025-06-01,296,6,5,290,0,10000.0,11051.71,10.52,11.12,-4.48,-1.04,2.48,40.0,9.32,-2.47,OFF
4,1,0.25,2025-06-01,296,13,9,278,5,10000.0,10299.57,3.0,3.16,-2.89,1.04,1.09,44.4,6.83,-3.03,OFF
12,1,0.08333333333333333,2025-06-01,296,33,21,254,9,10000.0,9885.42,-1.15,-1.21,-3.59,1.04,-0.34,28.6,5.76,-3.21,OFF
1,1,1.0,2025-07-01,273,2,1,271,0,10000.0,10448.55,4.49,5.2,0.0,0.0,0.0,100.0,4.49,0.0,OFF
4,1,0.25,2025-07-01,273,7,3,266,0,10000.0,9924.55,-0.75,-0.87,-1.11,0.0,-0.79,33.3,4.49,-3.77,OFF
12,1,0.08333333333333333,2025-07-01,273,15,3,258,0,10000.0,9974.66,-0.25,-0.29,-0.37,0.0,-0.79,33.3,4.49,-3.77,OFF
1,1,1.0,2025-08-01,222,2,1,220,0,10000.0,9706.89,-2.93,-3.74,-2.93,0.0,-1.27,0.0,0.0,-2.93,OFF
4,1,0.25,2025-08-01,222,9,5,210,3,10000.0,10637.9,6.38,8.24,-1.7,1.64,4.85,40.0,17.35,-3.03,OFF
12,1,0.08333333333333333,2025-08-01,222,33,21,162,27,10000.0,10325.33,3.25,4.18,-1.04,1.15,4.03,33.3,11.33,-2.87,OFF
1,1,1.0,2025-09-01,195,1,0,194,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
4,1,0.25,2025-09-01,195,4,0,191,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
12,1,0.08333333333333333,2025-09-01,195,23,11,140,32,10000.0,10313.0,3.13,4.53,-1.23,1.59,3.67,36.4,14.66,-3.02,OFF
1,1,1.0,2025-10-01,165,11,10,154,0,10000.0,12368.06,23.68,41.35,-11.25,-0.85,3.67,40.0,13.33,-4.25,OFF
4,1,0.25,2025-10-01,165,21,17,137,7,10000.0,10633.13,6.33,10.51,-3.99,-0.76,2.63,35.3,10.66,-3.44,OFF
