max_slots,per_token_cap,per_slot_fraction,start_ts,n_eligible,n_taken,n_realized,n_skipped_slots,n_skipped_token_cap,initial_capital,final_equity,total_return_pct,cagr_pct,max_dd_pct,monthly_sharpe,calmar,win_rate_pct,avg_win_pct,avg_loss_pct
1,1,1.0,all,2556,5,4,2551,0,10000.0,8487.2,-15.13,-34.29,-15.13,-1.55,-2.27,0.0,0.0,-4.01
1,2,1.0,all,2556,5,4,2551,0,10000.0,8487.2,-15.13,-34.29,-15.13,-1.55,-2.27,0.0,0.0,-4.01
1,3,1.0,all,2556,5,4,2551,0,10000.0,8487.2,-15.13,-34.29,-15.13,-1.55,-2.27,0.0,0.0,-4.01
2,1,0.5,all,2556,6,4,2546,4,10000.0,9220.65,-7.79,-18.76,-7.79,-1.55,-2.41,0.0,0.0,-4.01
2,2,0.5,all,2556,7,5,2549,0,10000.0,9011.56,-9.88,-23.39,-9.88,-1.55,-2.37,0.0,0.0,-4.1
2,3,0.5,all,2556,7,5,2549,0,10000.0,9011.56,-9.88,-23.39,-9.88,-1.55,-2.37,0.0,0.0,-4.1
3,1,0.3333333333333333,all,2556,14,11,2533,9,10000.0,10059.45,0.59,1.53,-4.28,2.4,0.36,27.3,8.68,-2.99
3,2,0.3333333333333333,all,2556,8,5,2545,3,10000.0,9333.07,-6.67,-16.2,-6.67,-1.55,-2.43,0.0,0.0,-4.1
3,3,0.3333333333333333,all,2556,8,5,2548,0,10000.0,9333.07,-6.67,-16.2,-6.67,-1.55,-2.43,0.0,0.0,-4.1
4,1,0.25,all,2556,16,12,2500,40,10000.0,9976.73,-0.23,-0.59,-3.39,2.53,-0.18,25.0,8.68,-2.97
4,2,0.25,all,2556,9,5,2543,4,10000.0,9496.79,-5.03,-12.38,-5.03,-1.55,-2.46,0.0,0.0,-4.1
4,3,0.25,all,2556,9,5,2545,2,10000.0,9496.79,-5.03,-12.38,-5.03,-1.55,-2.46,0.0,0.0,-4.1
5,1,0.2,all,2556,17,12,2466,73,10000.0,9995.29,-0.05,-0.12,-3.28,2.34,-0.04,25.0,8.68,-2.9
5,2,0.2,all,2556,13,8,2539,4,10000.0,9661.51,-3.38,-8.44,-3.38,-1.55,-2.49,12.5,7.41,-3.51
5,3,0.2,all,2556,10,5,2543,3,10000.0,9595.99,-4.04,-10.02,-4.04,-1.55,-2.48,0.0,0.0,-4.1
