max_slots,per_token_cap,per_slot_fraction,start_ts,n_eligible,n_taken,n_realized,n_skipped_slots,n_skipped_token_cap,initial_capital,final_equity,total_return_pct,cagr_pct,max_dd_pct,monthly_sharpe,calmar,win_rate_pct,avg_win_pct,avg_loss_pct,btc_filter
1,1,1.0,all,881,2,1,879,0,10000.0,11594.0,15.94,14.6,0.0,0.0,0.0,100.0,15.94,0.0,OFF
1,2,1.0,all,881,2,1,879,0,10000.0,11594.0,15.94,14.6,0.0,0.0,0.0,100.0,15.94,0.0,OFF
1,3,1.0,all,881,2,1,879,0,10000.0,11594.0,15.94,14.6,0.0,0.0,0.0,100.0,15.94,0.0,OFF
2,1,0.5,all,881,3,1,878,0,10000.0,10797.0,7.97,7.32,0.0,0.0,0.0,100.0,15.94,0.0,OFF
2,2,0.5,all,881,3,1,878,0,10000.0,10797.0,7.97,7.32,0.0,0.0,0.0,100.0,15.94,0.0,OFF
2,3,0.5,all,881,3,1,878,0,10000.0,10797.0,7.97,7.32,0.0,0.0,0.0,100.0,15.94,0.0,OFF
3,1,0.3333333333333333,all,881,4,1,877,0,10000.0,10531.33,5.31,4.89,0.0,0.0,0.0,100.0,15.94,0.0,OFF
3,2,0.3333333333333333,all,881,4,1,877,0,10000.0,10531.33,5.31,4.89,0.0,0.0,0.0,100.0,15.94,0.0,OFF
3,3,0.3333333333333333,all,881,4,1,877,0,10000.0,10531.33,5.31,4.89,0.0,0.0,0.0,100.0,15.94,0.0,OFF
4,1,0.25,all,881,5,1,876,0,10000.0,10398.5,3.98,3.67,0.0,0.0,0.0,100.0,15.94,0.0,OFF
4,2,0.25,all,881,5,1,876,0,10000.0,10398.5,3.98,3.67,0.0,0.0,0.0,100.0,15.94,0.0,OFF
4,3,0.25,all,881,5,1,876,0,10000.0,10398.5,3.98,3.67,0.0,0.0,0.0,100.0,15.94,0.0,OFF
5,1,0.2,all,881,8,3,873,0,10000.0,10806.92,8.07,7.41,0.0,0.0,0.0,100.0,13.38,0.0,OFF
5,2,0.2,all,881,8,3,873,0,10000.0,10806.92,8.07,7.41,0.0,0.0,0.0,100.0,13.38,0.0,OFF
5,3,0.2,all,881,8,3,873,0,10000.0,10806.92,8.07,7.41,0.0,0.0,0.0,100.0,13.38,0.0,OFF
1,1,1.0,all,365,8,7,357,0,10000.0,10798.87,7.99,21.8,-5.91,1.41,3.69,42.9,6.98,-2.97,ON
1,2,1.0,all,365,8,7,357,0,10000.0,10798.87,7.99,21.8,-5.91,1.41,3.69,42.9,6.98,-2.97,ON
1,3,1.0,all,365,8,7,357,0,10000.0,10798.87,7.99,21.8,-5.91,1.41,3.69,42.9,6.98,-2.97,ON
2,1,0.5,all,365,9,7,356,0,10000.0,10425.93,4.26,11.3,-2.97,1.41,3.8,42.9,6.98,-2.97,ON
2,2,0.5,all,365,9,7,356,0,10000.0,10425.93,4.26,11.3,-2.97,1.41,3.8,42.9,6.98,-2.97,ON
2,3,0.5,all,365,9,7,356,0,10000.0,10425.93,4.26,11.3,-2.97,1.41,3.8,42.9,6.98,-2.97,ON
3,1,0.3333333333333333,all,365,10,7,355,0,10000.0,10289.82,2.9,7.61,-1.99,1.42,3.83,42.9,6.98,-2.97,ON
3,2,0.3333333333333333,all,365,10,7,355,0,10000.0,10289.82,2.9,7.61,-1.99,1.42,3.83,42.9,6.98,-2.97,ON
3,3,0.3333333333333333,all,365,10,7,355,0,10000.0,10289.82,2.9,7.61,-1.99,1.42,3.83,42.9,6.98,-2.97,ON
4,1,0.25,all,365,15,11,350,0,10000.0,10270.2,2.7,7.08,-1.7,0.87,4.17,45.5,6.2,-3.33,ON
4,2,0.25,all,365,15,11,350,0,10000.0,10270.2,2.7,7.08,-1.7,0.87,4.17,45.5,6.2,-3.33,ON
4,3,0.25,all,365,15,11,350,0,10000.0,10270.2,2.7,7.08,-1.7,0.87,4.17,45.5,6.2,-3.33,ON
5,1,0.2,all,365,19,14,344,2,10000.0,9797.34,-2.03,-5.12,-3.41,-1.58,-1.5,28.6,7.18,-3.87,ON
5,2,0.2,all,365,18,13,347,0,10000.0,10029.4,0.29,0.76,-2.16,0.71,0.35,38.5,6.2,-3.67,ON
5,3,0.2,all,365,18,13,347,0,10000.0,10029.4,0.29,0.76,-2.16,0.71,0.35,38.5,6.2,-3.67,ON
