max_slots,per_token_cap,per_slot_fraction,start_ts,n_eligible,n_taken,n_realized,n_skipped_slots,n_skipped_token_cap,initial_capital,final_equity,total_return_pct,cagr_pct,max_dd_pct,monthly_sharpe,calmar,win_rate_pct,avg_win_pct,avg_loss_pct
1,1,1.0,2025-05-01,157,8,7,149,0,10000.0,10398.61,3.99,9.19,-5.91,1.35,1.56,28.6,9.32,-2.68
4,3,0.25,2025-05-01,157,15,11,142,0,10000.0,10558.8,5.59,13.01,-1.16,2.41,11.23,45.5,7.75,-2.76
1,1,1.0,2025-06-01,146,6,5,140,0,10000.0,11051.71,10.52,32.06,-4.48,-1.73,7.16,40.0,9.32,-2.47
4,3,0.25,2025-06-01,146,12,8,134,0,10000.0,10366.69,3.67,10.53,-2.31,1.73,4.56,37.5,9.55,-2.77
1,1,1.0,2025-07-01,123,2,1,121,0,10000.0,10448.55,4.49,17.13,0.0,0.0,0.0,100.0,4.49,0.0
4,3,0.25,2025-07-01,123,7,3,116,0,10000.0,9924.55,-0.75,-2.69,-1.11,0.0,-2.43,33.3,4.49,-3.77
1,1,1.0,2025-08-01,72,2,1,70,0,10000.0,9706.89,-2.93,-14.31,-2.93,0.0,-4.88,0.0,0.0,-2.93
4,3,0.25,2025-08-01,72,5,1,67,0,10000.0,9926.72,-0.73,-3.75,-0.73,0.0,-5.11,0.0,0.0,-2.93
1,1,1.0,2025-09-01,46,1,0,45,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,0.25,2025-09-01,46,4,0,42,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
