max_slots,per_token_cap,per_slot_fraction,start_ts,n_eligible,n_taken,n_realized,n_skipped_slots,n_skipped_token_cap,initial_capital,final_equity,total_return_pct,cagr_pct,max_dd_pct,monthly_sharpe,calmar,win_rate_pct,avg_win_pct,avg_loss_pct,btc_filter
1,1,1.0,2025-04-01,881,2,1,879,0,10000.0,11594.0,15.94,14.18,0.0,0.0,0.0,100.0,15.94,0.0,OFF
4,1,0.25,2025-04-01,881,5,1,876,0,10000.0,10398.5,3.98,3.57,0.0,0.0,0.0,100.0,15.94,0.0,OFF
1,1,1.0,2025-05-01,808,2,1,806,0,10000.0,12181.5,21.82,21.05,0.0,0.0,0.0,100.0,21.81,0.0,OFF
4,1,0.25,2025-05-01,808,7,3,800,1,10000.0,10405.0,4.05,3.92,-1.4,0.0,2.79,33.3,21.81,-2.82,OFF
1,1,1.0,2025-06-01,702,6,5,696,0,10000.0,11477.11,14.77,15.64,-4.48,-1.04,3.49,60.0,6.98,-2.96,OFF
4,1,0.25,2025-06-01,702,15,11,685,2,10000.0,9706.69,-2.93,-3.09,-5.76,-1.04,-0.54,18.2,9.32,-3.36,OFF
1,1,1.0,2025-07-01,655,2,1,653,0,10000.0,9694.14,-3.06,-3.52,-3.06,0.0,-1.15,0.0,0.0,-3.06,OFF
4,1,0.25,2025-07-01,655,8,4,647,0,10000.0,10038.4,0.38,0.44,-1.11,0.0,0.4,50.0,4.51,-3.77,OFF
1,1,1.0,2025-08-01,537,1,0,536,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
4,1,0.25,2025-08-01,537,15,11,521,1,10000.0,10476.77,4.77,6.14,-3.29,1.68,1.86,36.4,10.71,-3.38,OFF
1,1,1.0,2025-09-01,470,1,0,469,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
4,1,0.25,2025-09-01,470,13,9,453,4,10000.0,10507.67,5.08,7.37,-3.62,1.22,2.04,33.3,14.03,-3.44,OFF
1,1,1.0,2025-10-01,396,7,6,389,0,10000.0,13096.84,30.97,55.15,-9.29,0.0,5.94,50.0,14.03,-3.2,OFF
4,1,0.25,2025-10-01,396,13,9,381,2,10000.0,10617.9,6.18,10.25,-4.09,0.0,2.51,33.3,14.03,-2.77,OFF
1,1,1.0,2025-11-01,349,1,0,348,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
4,1,0.25,2025-11-01,349,12,8,335,2,10000.0,9788.08,-2.12,-3.97,-5.36,-1.41,-0.74,25.0,10.51,-4.85,OFF
1,1,1.0,2025-12-01,334,1,0,333,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
4,1,0.25,2025-12-01,334,18,14,312,4,10000.0,9824.46,-1.76,-3.88,-5.07,-1.55,-0.77,28.6,5.16,-2.74,OFF
1,1,1.0,2026-01-01,321,2,1,319,0,10000.0,9772.57,-2.27,-6.15,-2.27,0.0,-2.71,0.0,0.0,-2.27,OFF
4,1,0.25,2026-01-01,321,5,1,316,0,10000.0,9943.14,-0.57,-1.56,-0.57,0.0,-2.75,0.0,0.0,-2.27,OFF
1,1,1.0,2026-02-01,237,2,1,235,0,10000.0,9446.77,-5.53,-18.55,-5.53,0.0,-3.35,0.0,0.0,-5.53,OFF
4,1,0.25,2026-02-01,237,10,6,226,1,10000.0,9926.08,-0.74,-2.64,-3.26,2.0,-0.81,33.3,6.42,-3.9,OFF
1,1,1.0,2026-03-01,227,3,2,224,0,10000.0,10572.03,5.72,31.92,-2.44,0.0,13.1,50.0,8.36,-2.44,OFF
4,1,0.25,2026-03-01,227,11,7,216,0,10000.0,10093.21,0.93,4.73,-3.45,0.0,1.37,28.6,9.07,-2.81,OFF
1,1,1.0,2026-04-01,162,5,4,157,0,10000.0,9727.82,-2.72,-21.19,-6.07,0.0,-3.49,25.0,6.54,-2.99,OFF
4,1,0.25,2026-04-01,162,12,8,149,1,10000.0,10084.35,0.84,7.52,-2.71,0.0,2.77,37.5,6.65,-3.28,OFF
1,1,1.0,2025-05-01,365,8,7,357,0,10000.0,10798.87,7.99,18.88,-5.91,1.41,3.19,42.9,6.98,-2.97,ON
4,1,0.25,2025-05-01,365,15,11,350,0,10000.0,10270.2,2.7,6.18,-1.7,0.87,3.64,45.5,6.2,-3.33,ON
1,1,1.0,2025-06-01,336,6,5,330,0,10000.0,11477.11,14.77,46.69,-4.48,-1.73,10.42,60.0,6.98,-2.96,ON
4,1,0.25,2025-06-01,336,15,11,319,2,10000.0,9706.69,-2.93,-7.95,-5.76,-1.73,-1.38,18.2,9.32,-3.36,ON
1,1,1.0,2025-07-01,289,2,1,287,0,10000.0,9694.14,-3.06,-10.59,-3.06,0.0,-3.46,0.0,0.0,-3.06,ON
4,1,0.25,2025-07-01,289,8,4,281,0,10000.0,10038.4,0.38,1.39,-1.11,0.0,1.26,50.0,4.51,-3.77,ON
1,1,1.0,2025-08-01,171,1,0,170,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ON
4,1,0.25,2025-08-01,171,14,10,156,1,10000.0,10431.61,4.32,24.54,-2.35,2.45,10.44,40.0,9.41,-3.29,ON
1,1,1.0,2025-09-01,105,1,0,104,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ON
4,1,0.25,2025-09-01,105,4,0,101,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ON
