start_ts,n_signals_eligible,n_taken,n_skipped_slots_full,final_equity,return_pct
2025-01-01,726,23,703,8691.81,-13.08
2025-02-01,703,14,689,8539.84,-14.6
2025-03-01,680,8,672,9436.15,-5.64
2025-04-01,638,8,630,10231.76,2.32
2025-05-01,586,5,581,9924.9,-0.75
2025-06-01,525,6,519,10155.78,1.56
2025-07-01,478,4,474,10000.0,0.0
2025-08-01,417,10,407,10405.81,4.06
2025-09-01,389,9,380,10456.34,4.56
2025-10-01,344,4,340,10000.0,0.0
2025-11-01,282,9,273,9852.01,-1.48
2025-12-01,271,5,266,9901.22,-0.99
2026-01-01,231,5,226,9943.14,-0.57
2026-02-01,188,11,177,9327.89,-6.72
2026-03-01,156,5,151,9915.3,-0.85
2026-04-01,98,8,90,10380.42,3.8
