symbol,signal_ts,current_price,support_level,tp,tp2,sl,tp_source,expires_at,tier,confluence,touches,distance_to_support_atr,token_rsi,btc_rsi,raw_rr,passed_quality,passed_momentum,published,skip_reason,filled,fill_ts,exit_ts,exit_price,exit_reason,pnl_pct,hold_hours
BTC,2025-01-19 00:00:00+00:00,104984.01,104100.0,108400.0,0.0,102162.6975,tp1,2025-01-26 00:00:00+00:00,Major,2.0,11,0.22815486998029327,94.93870575000507,94.93870575000507,2.219581092782355,True,True,True,,True,2025-01-19 08:00:00+00:00,2025-01-19 20:00:00+00:00,102162.6975,SL,-1.9210014409221954,12
ETH,2025-01-19 00:00:00+00:00,3335.47,3225.0,3535.0,3685.0,3125.3039285714285,tp1,2025-01-26 00:00:00+00:00,Major,2.0,19,0.5540338672178649,55.66789185816378,94.93870575000507,3.1094505085097905,True,True,True,,True,2025-01-19 08:00:00+00:00,2025-01-27 04:00:00+00:00,3125.3039285714285,SL,-3.1513510520487285,188
SOL,2025-01-19 00:00:00+00:00,255.6,247.0,264.0,0.0,238.87071428571429,tp1,2025-01-26 00:00:00+00:00,Major,1.0,4,0.5289517617081094,87.3138269779233,94.93870575000507,2.0912046393111328,True,True,True,,True,2025-01-19 20:00:00+00:00,2025-01-20 00:00:00+00:00,238.87071428571429,SL,-3.351208791208791,4
ADA,2025-01-19 00:00:00+00:00,1.0886,1.0,1.2,1.3,0.9527821428571429,tp1,2025-01-26 00:00:00+00:00,Major,2.0,6,0.9382043718326908,74.54012263396427,94.93870575000507,4.235685651614859,True,True,True,,True,2025-01-19 20:00:00+00:00,2025-01-21 08:00:00+00:00,0.9527821428571429,SL,-4.781785714285708,36
LINK,2025-01-19 00:00:00+00:00,23.86,23.5,25.5,27.5,22.618214285714284,tp1,2025-01-26 00:00:00+00:00,Minor,1.0,3,0.2041312272174966,74.9112426035503,94.93870575000507,2.2681247468610737,True,True,True,,True,2025-01-19 04:00:00+00:00,2025-01-19 08:00:00+00:00,22.618214285714284,SL,-3.8122796352583648,4
SUI,2025-01-19 00:00:00+00:00,4.867,4.6,5.1,0.0,4.401621428571429,tp1,2025-01-26 00:00:00+00:00,Major,1.0,20,0.6729557483887236,53.48336126406512,94.93870575000507,2.52043351456451,True,True,True,,True,2025-01-19 20:00:00+00:00,2025-01-20 00:00:00+00:00,4.401621428571429,SL,-4.372577639751545,4
AAVE,2025-01-19 00:00:00+00:00,317.45,299.0,355.0,384.0,286.2625,tp1,2025-01-26 00:00:00+00:00,Major,1.0,1,0.7242394504416091,69.53948784161824,94.93870575000507,4.396467124631989,True,True,True,,True,2025-01-19 08:00:00+00:00,2025-01-20 04:00:00+00:00,355.0,TP,18.669096989966555,20
AVAX,2025-01-19 00:00:00+00:00,39.4,37.0,40.0,44.0,35.596785714285716,tp1,2025-01-26 00:00:00+00:00,Major,2.0,4,0.8551794349707301,64.36265709156191,94.93870575000507,2.1379485874268283,True,True,True,,True,2025-01-19 08:00:00+00:00,2025-01-19 20:00:00+00:00,35.596785714285716,SL,-3.852471042471039,12
TAO,2025-01-19 00:00:00+00:00,455.6,370.0,473.0,564.0,346.9321428571429,tp1,2025-01-26 00:00:00+00:00,Minor,1.0,1,1.85539557206998,56.987951807228924,94.93870575000507,4.465087474841311,True,True,True,,True,2025-01-24 00:00:00+00:00,2025-01-27 12:00:00+00:00,473.0,TP,27.777837837837836,84
DOGE,2025-01-19 00:00:00+00:00,0.40009,0.371,0.409,0.484,0.3556875,tp1,2025-01-26 00:00:00+00:00,Minor,1.0,0,0.949877551020408,77.25174005926536,94.93870575000507,2.481632653061222,True,True,True,,True,2025-01-19 08:00:00+00:00,2025-01-19 20:00:00+00:00,0.3556875,SL,-4.187358490566039,12
BNB,2025-01-19 00:00:00+00:00,710.08,700.0,750.0,750.0,687.9607142857143,tp2,2025-01-26 00:00:00+00:00,Major,2.0,11,0.4186294867991708,65.73292402148886,94.93870575000507,4.153070305547317,True,True,True,,True,2025-01-19 08:00:00+00:00,2025-01-19 12:00:00+00:00,687.9607142857143,SL,-1.779897959183673,4
HBAR,2025-01-19 00:00:00+00:00,0.35468,0.313,0.367,0.401,0.2966775,tp1,2025-01-26 00:00:00+00:00,Major,2.0,2,1.276765201409097,76.8888888888889,94.93870575000507,3.3083167406953553,True,True,True,,True,2025-01-23 12:00:00+00:00,2025-01-27 04:00:00+00:00,0.2966775,SL,-5.274856230031954,88
DOT,2025-01-19 00:00:00+00:00,7.041,6.8,7.8,8.8,6.545464285714286,tp1,2025-01-26 00:00:00+00:00,Major,2.0,17,0.4734109723586373,61.32518796992482,94.93870575000507,3.92872176231234,True,True,True,,True,2025-01-19 04:00:00+00:00,2025-01-19 08:00:00+00:00,6.545464285714286,SL,-3.8031722689075567,4
