sr_max_distance_atr,sr_sl_atr_mult,min_token_rsi,min_confluence,min_touches,max_hold_days,major_only,tp_cascade,min_rr,cascade_skipped,n_published,n_filled,fill_rate_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_pnl_filled_pct,expectancy_per_signal_pct,score,n_tp,n_sl,n_timeout
2.0,1.0,60.0,0.0,0,7,True,False,1.5,0,522,290,55.56,46.9,7.029,-5.698,0.271,0.15,2.561,99,127,59
2.0,1.0,60.0,0.0,0,7,True,False,2.0,0,522,290,55.56,46.9,7.029,-5.698,0.271,0.15,2.561,99,127,59
2.0,1.0,60.0,0.0,0,7,True,False,2.5,0,522,290,55.56,46.9,7.029,-5.698,0.271,0.15,2.561,99,127,59
2.0,1.0,60.0,0.0,0,7,True,False,3.0,0,522,290,55.56,46.9,7.029,-5.698,0.271,0.15,2.561,99,127,59
2.0,1.0,60.0,0.0,3,7,True,False,1.5,0,522,290,55.56,46.9,7.029,-5.698,0.271,0.15,2.561,99,127,59
2.0,1.0,60.0,0.0,3,7,True,False,2.0,0,522,290,55.56,46.9,7.029,-5.698,0.271,0.15,2.561,99,127,59
2.0,1.0,60.0,0.0,3,7,True,False,2.5,0,522,290,55.56,46.9,7.029,-5.698,0.271,0.15,2.561,99,127,59
2.0,1.0,60.0,0.0,3,7,True,False,3.0,0,522,290,55.56,46.9,7.029,-5.698,0.271,0.15,2.561,99,127,59
2.0,1.0,60.0,50.0,0,7,True,False,1.5,0,522,290,55.56,46.9,7.029,-5.698,0.271,0.15,2.561,99,127,59
2.0,1.0,60.0,50.0,0,7,True,False,2.0,0,522,290,55.56,46.9,7.029,-5.698,0.271,0.15,2.561,99,127,59
2.0,1.0,60.0,50.0,0,7,True,False,2.5,0,522,290,55.56,46.9,7.029,-5.698,0.271,0.15,2.561,99,127,59
2.0,1.0,60.0,50.0,0,7,True,False,3.0,0,522,290,55.56,46.9,7.029,-5.698,0.271,0.15,2.561,99,127,59
1.5,0.5,60.0,0.0,0,21,True,False,1.5,0,507,307,60.55,29.97,8.365,-3.351,0.16,0.097,1.698,87,214,2
1.5,0.5,60.0,0.0,0,21,True,False,2.0,0,507,307,60.55,29.97,8.365,-3.351,0.16,0.097,1.698,87,214,2
1.5,0.5,60.0,0.0,0,21,True,False,2.5,0,507,307,60.55,29.97,8.365,-3.351,0.16,0.097,1.698,87,214,2
1.5,0.5,60.0,0.0,0,21,True,False,3.0,0,507,307,60.55,29.97,8.365,-3.351,0.16,0.097,1.698,87,214,2
1.5,0.5,60.0,0.0,3,21,True,False,1.5,0,507,307,60.55,29.97,8.365,-3.351,0.16,0.097,1.698,87,214,2
1.5,0.5,60.0,0.0,3,21,True,False,2.0,0,507,307,60.55,29.97,8.365,-3.351,0.16,0.097,1.698,87,214,2
1.5,0.5,60.0,0.0,3,21,True,False,2.5,0,507,307,60.55,29.97,8.365,-3.351,0.16,0.097,1.698,87,214,2
1.5,0.5,60.0,0.0,3,21,True,False,3.0,0,507,307,60.55,29.97,8.365,-3.351,0.16,0.097,1.698,87,214,2
1.5,0.5,60.0,50.0,0,21,True,False,1.5,0,507,307,60.55,29.97,8.365,-3.351,0.16,0.097,1.698,87,214,2
1.5,0.5,60.0,50.0,0,21,True,False,2.0,0,507,307,60.55,29.97,8.365,-3.351,0.16,0.097,1.698,87,214,2
1.5,0.5,60.0,50.0,0,21,True,False,2.5,0,507,307,60.55,29.97,8.365,-3.351,0.16,0.097,1.698,87,214,2
1.5,0.5,60.0,50.0,0,21,True,False,3.0,0,507,307,60.55,29.97,8.365,-3.351,0.16,0.097,1.698,87,214,2
2.0,0.5,60.0,0.0,0,7,True,False,1.5,0,522,290,55.56,31.72,7.578,-3.275,0.168,0.093,1.59,72,194,20
2.0,0.5,60.0,0.0,0,7,True,False,2.0,0,522,290,55.56,31.72,7.578,-3.275,0.168,0.093,1.59,72,194,20
2.0,0.5,60.0,0.0,0,7,True,False,2.5,0,522,290,55.56,31.72,7.578,-3.275,0.168,0.093,1.59,72,194,20
2.0,0.5,60.0,0.0,0,7,True,False,3.0,0,522,290,55.56,31.72,7.578,-3.275,0.168,0.093,1.59,72,194,20
2.0,0.5,60.0,0.0,3,7,True,False,1.5,0,522,290,55.56,31.72,7.578,-3.275,0.168,0.093,1.59,72,194,20
