sr_max_distance_atr,sr_sl_atr_mult,major_only,btc_rsi_floor,mt_not_downtrend,relative_volume,rsi_cap,min_token_rsi,min_confluence,min_touches,tp_cascade,min_rr,max_hold_days,cascade_skipped,n_published,n_filled,fill_rate_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_pnl_filled_pct,expectancy_per_signal_pct,score,n_tp,n_sl,n_timeout
2.0,0.5,True,0.0,True,False,0.0,60.0,0.0,0,False,2.0,7,0,413,228,55.21,35.53,7.181,-3.111,0.545,0.301,4.544,62,146,16
2.0,0.5,True,0.0,True,False,0.0,60.0,0.0,0,False,2.0,14,0,413,228,55.21,31.14,8.594,-3.138,0.516,0.285,4.297,65,156,3
2.0,0.5,True,50.0,True,False,0.0,60.0,0.0,0,False,2.0,7,0,383,210,54.83,34.29,7.085,-3.062,0.417,0.228,3.311,58,137,11
2.0,0.5,True,50.0,True,False,0.0,60.0,0.0,0,False,2.0,14,0,383,210,54.83,30.95,8.038,-3.047,0.384,0.21,3.05,61,144,1
2.0,0.5,True,0.0,True,False,0.0,60.0,0.0,0,True,2.0,7,134,408,226,55.39,31.42,7.839,-3.097,0.339,0.188,2.821,46,154,22
2.0,0.5,False,0.0,False,True,0.0,0.0,0.0,0,False,2.0,14,0,430,270,62.79,28.52,9.996,-3.585,0.288,0.181,2.975,73,193,3
3.0,0.5,True,0.0,False,False,80.0,0.0,0.0,0,False,2.0,7,0,1078,623,57.79,32.58,8.277,-3.538,0.311,0.18,4.493,148,413,56
2.0,0.5,True,0.0,True,False,0.0,60.0,0.0,0,True,2.0,14,134,408,226,55.39,26.11,10.074,-3.125,0.321,0.178,2.672,50,166,6
3.0,0.5,True,0.0,True,False,0.0,60.0,0.0,3,False,2.0,14,0,383,203,53.0,28.08,8.838,-3.033,0.3,0.159,2.267,51,143,5
3.0,0.5,True,0.0,True,False,0.0,60.0,50.0,3,False,2.0,14,0,383,203,53.0,28.08,8.838,-3.033,0.3,0.159,2.267,51,143,5
2.0,0.5,True,0.0,True,False,0.0,60.0,0.0,3,False,2.0,7,0,370,207,55.95,32.37,7.149,-3.009,0.279,0.156,2.244,52,138,14
2.0,0.5,True,0.0,True,False,0.0,60.0,50.0,3,False,2.0,7,0,370,207,55.95,32.37,7.149,-3.009,0.279,0.156,2.244,52,138,14
3.0,0.5,False,0.0,False,True,0.0,0.0,0.0,0,False,2.0,14,0,436,263,60.32,28.14,10.067,-3.592,0.251,0.151,2.454,69,189,4
2.0,1.0,True,50.0,False,False,0.0,60.0,0.0,0,False,2.0,7,0,522,290,55.56,46.9,7.029,-5.698,0.271,0.15,2.561,99,127,59
3.0,0.5,True,0.0,True,False,0.0,60.0,0.0,3,False,2.0,7,0,383,203,53.0,32.02,7.172,-2.963,0.282,0.149,2.13,49,135,15
3.0,0.5,True,0.0,True,False,0.0,60.0,50.0,3,False,2.0,7,0,383,203,53.0,32.02,7.172,-2.963,0.282,0.149,2.13,49,135,15
2.0,0.5,True,0.0,True,False,0.0,60.0,0.0,3,False,2.0,14,0,370,207,55.95,28.5,8.592,-3.08,0.247,0.138,1.985,54,146,4
2.0,0.5,True,0.0,True,False,0.0,60.0,50.0,3,False,2.0,14,0,370,207,55.95,28.5,8.592,-3.08,0.247,0.138,1.985,54,146,4
2.0,0.5,True,50.0,True,False,0.0,60.0,0.0,0,True,2.0,7,131,378,207,54.76,29.95,7.927,-3.033,0.25,0.137,1.97,42,144,17
2.0,0.5,True,50.0,True,False,0.0,60.0,0.0,0,True,2.0,14,131,378,207,54.76,25.6,9.681,-3.023,0.23,0.126,1.81,46,153,4
3.0,0.5,True,0.0,True,False,0.0,60.0,0.0,0,False,2.0,14,0,426,221,51.88,28.51,8.701,-3.144,0.233,0.121,1.796,57,156,3
2.0,0.5,True,0.0,False,False,0.0,60.0,0.0,0,False,2.0,7,0,555,309,55.68,32.69,7.518,-3.332,0.215,0.12,2.101,77,204,24
2.0,0.5,False,0.0,False,True,80.0,0.0,0.0,0,False,2.0,14,0,408,255,62.5,27.06,10.428,-3.617,0.184,0.115,1.833,65,186,3
2.0,1.0,True,0.0,False,False,0.0,60.0,0.0,0,False,2.0,7,0,555,309,55.68,46.6,7.083,-5.813,0.197,0.11,1.929,102,139,63
2.0,0.5,True,0.0,True,False,80.0,60.0,0.0,0,False,2.0,7,0,396,229,57.83,33.19,6.789,-3.09,0.188,0.109,1.649,56,152,18
2.0,0.5,True,50.0,True,False,80.0,60.0,0.0,0,False,2.0,7,0,367,207,56.4,32.37,6.9,-3.026,0.187,0.105,1.514,54,139,11
3.0,0.5,True,50.0,True,False,0.0,60.0,0.0,0,False,2.0,14,0,398,205,51.51,28.78,8.245,-3.051,0.2,0.103,1.476,55,144,1
3.0,0.5,False,0.0,True,False,0.0,60.0,0.0,0,True,2.0,14,74,435,245,56.32,25.31,9.938,-3.136,0.172,0.097,1.521,55,181,6
3.0,0.5,True,0.0,False,False,80.0,0.0,0.0,0,False,2.0,14,0,1078,623,57.79,28.89,9.373,-3.577,0.165,0.095,2.376,164,434,18
3.0,0.5,True,0.0,True,False,0.0,60.0,0.0,0,False,2.0,7,0,426,221,51.88,32.13,7.086,-3.089,0.18,0.094,1.391,54,148,14
2.0,0.5,True,50.0,False,False,0.0,60.0,0.0,0,False,2.0,7,0,522,290,55.56,31.72,7.578,-3.275,0.168,0.093,1.59,72,194,20
