sr_max_distance_atr,sr_sl_atr_mult,major_only,btc_rsi_floor,mt_not_downtrend,relative_volume,btc_uptrend,rsi_cap,min_token_rsi,min_confluence,min_touches,tp_cascade,min_rr,max_hold_days,cascade_skipped,n_published,n_filled,fill_rate_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_pnl_filled_pct,expectancy_per_signal_pct,score,n_tp,n_sl,n_timeout
2.0,1.0,False,0.0,True,True,True,0.0,60.0,0.0,0,False,2.0,7,0,181,130,71.82,50.77,7.442,-6.192,0.73,0.524,5.978,55,60,15
2.0,1.0,False,0.0,True,True,True,0.0,60.0,0.0,0,True,2.0,7,226,174,118,67.82,41.53,10.085,-5.877,0.752,0.51,5.537,30,61,27
3.0,1.0,True,0.0,True,True,True,0.0,60.0,0.0,0,True,2.0,7,275,164,104,63.41,39.42,10.794,-5.751,0.771,0.489,4.989,26,56,22
2.0,1.0,False,0.0,False,True,True,0.0,60.0,0.0,0,True,2.0,7,231,186,125,67.2,40.8,10.131,-5.808,0.695,0.467,5.22,31,67,27
2.0,1.0,False,0.0,False,True,True,0.0,60.0,0.0,0,False,2.0,7,0,194,138,71.13,50.0,7.344,-6.096,0.624,0.444,5.212,58,65,15
2.0,1.0,False,0.0,False,True,True,0.0,60.0,0.0,0,False,2.0,14,0,194,138,71.13,47.1,8.384,-6.331,0.6,0.427,5.017,63,70,5
3.0,1.0,False,0.0,True,True,True,0.0,60.0,0.0,0,True,2.0,7,226,175,115,65.71,40.0,10.15,-5.79,0.586,0.385,4.128,29,61,25
2.0,1.0,False,0.0,True,True,True,0.0,60.0,0.0,0,False,2.0,14,0,181,130,71.82,46.92,8.441,-6.49,0.516,0.371,4.227,59,66,5
3.0,1.0,False,0.0,True,True,True,0.0,60.0,0.0,0,False,2.0,7,0,182,127,69.78,49.61,7.261,-6.099,0.528,0.369,4.155,53,60,14
3.0,1.0,False,0.0,False,True,True,0.0,60.0,0.0,0,True,2.0,7,231,187,122,65.24,39.34,10.196,-5.728,0.537,0.35,3.87,30,67,25
2.0,1.0,False,50.0,False,True,False,0.0,60.0,0.0,0,True,2.0,7,378,421,254,60.33,40.16,9.564,-5.509,0.544,0.328,5.233,48,131,65
3.0,1.0,True,0.0,False,True,True,0.0,60.0,0.0,0,True,2.0,7,280,176,112,63.64,37.5,10.733,-5.634,0.504,0.321,3.392,26,63,23
2.0,1.0,False,50.0,True,True,True,0.0,60.0,0.0,0,False,2.0,7,0,169,120,71.01,48.33,7.582,-6.231,0.445,0.316,3.464,51,59,10
3.0,0.5,True,0.0,True,True,True,0.0,0.0,0.0,0,False,2.0,14,0,254,167,65.75,28.74,10.042,-3.391,0.47,0.309,3.993,45,119,3
2.0,1.0,False,50.0,True,True,True,0.0,60.0,0.0,0,True,2.0,7,198,160,106,66.25,38.68,10.634,-5.965,0.455,0.301,3.103,28,59,19
3.0,1.0,False,50.0,False,False,False,80.0,60.0,0.0,0,False,2.0,7,0,1165,664,57.0,47.89,7.236,-5.642,0.525,0.299,7.717,240,278,133
3.0,1.0,False,0.0,False,True,True,0.0,60.0,0.0,0,False,2.0,7,0,195,135,69.23,48.89,7.166,-6.01,0.432,0.299,3.473,56,65,14
2.0,1.0,True,0.0,True,True,True,0.0,0.0,0.0,3,False,2.0,14,0,215,151,70.23,44.37,9.239,-6.617,0.419,0.294,3.614,62,80,9
2.0,1.0,True,0.0,True,True,True,0.0,0.0,50.0,3,False,2.0,14,0,215,151,70.23,44.37,9.239,-6.617,0.419,0.294,3.614,62,80,9
3.0,1.0,False,0.0,False,False,False,80.0,60.0,0.0,0,False,2.0,7,0,1242,714,57.49,48.18,7.301,-5.805,0.509,0.293,7.822,257,298,146
2.0,1.0,True,0.0,False,True,True,0.0,0.0,0.0,3,False,2.0,14,0,238,166,69.75,44.58,8.989,-6.477,0.417,0.291,3.751,68,88,10
2.0,1.0,True,0.0,False,True,True,0.0,0.0,50.0,3,False,2.0,14,0,238,166,69.75,44.58,8.989,-6.477,0.417,0.291,3.751,68,88,10
2.0,0.5,True,50.0,True,False,False,0.0,60.0,0.0,0,False,2.0,7,0,851,495,58.17,35.15,7.052,-3.06,0.495,0.288,6.404,143,312,31
3.0,1.0,True,0.0,True,True,True,0.0,60.0,0.0,0,False,2.0,7,0,171,115,67.25,47.83,7.439,-6.004,0.425,0.286,3.068,45,56,14
2.0,1.0,False,0.0,False,True,False,0.0,60.0,0.0,0,True,2.0,7,433,461,282,61.17,40.43,9.523,-5.679,0.467,0.285,4.793,52,141,79
2.0,1.0,False,50.0,False,True,True,0.0,60.0,0.0,0,True,2.0,7,203,172,113,65.7,38.05,10.692,-5.887,0.422,0.277,2.947,29,65,19
2.0,0.5,True,50.0,True,False,False,0.0,60.0,0.0,0,True,2.0,7,236,842,488,57.96,31.35,8.161,-3.044,0.469,0.272,6.004,106,326,47
