window_start,window_end,n_published,n_filled,fill_rate_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_pnl_filled_pct,expectancy_per_signal_pct,n_tp,n_sl,n_timeout,n_open
2025-01-19,2025-03-20,45,27,60.0,29.63,8.099,-8.126,-3.318,-1.991,5,15,7,0
2025-02-18,2025-04-19,51,29,56.86,31.03,13.021,-7.205,-0.928,-0.528,9,19,1,0
2025-03-20,2025-05-19,99,46,46.46,52.17,9.305,-5.476,2.236,1.039,22,19,5,0
2025-04-19,2025-06-18,92,47,51.09,42.55,6.766,-5.539,-0.303,-0.155,16,24,7,0
2025-05-19,2025-07-18,72,38,52.78,50.0,6.121,-5.955,0.083,0.044,14,18,6,0
2025-06-18,2025-08-17,74,34,45.95,61.76,6.917,-6.95,1.615,0.742,16,12,6,0
2025-07-18,2025-09-16,60,28,46.67,35.71,7.266,-6.469,-1.564,-0.73,8,17,3,0
2025-08-17,2025-10-16,56,32,57.14,37.5,6.694,-5.282,-0.791,-0.452,12,20,0,0
2025-09-16,2025-11-15,50,42,84.0,30.95,7.01,-6.03,-1.994,-1.675,10,28,4,0
2025-10-16,2025-12-15,42,35,83.33,40.0,5.791,-6.531,-1.602,-1.335,9,19,7,0
2025-11-15,2026-01-14,61,29,47.54,68.97,6.218,-5.834,2.478,1.178,17,8,4,0
2025-12-15,2026-02-13,48,19,39.58,57.89,6.771,-4.153,2.171,0.859,10,8,1,0
2026-01-14,2026-03-15,51,39,76.47,51.28,7.765,-3.84,2.111,1.614,10,10,19,0
2026-02-13,2026-04-14,76,52,68.42,55.77,6.942,-4.617,1.829,1.252,16,14,22,0
2026-03-15,2026-05-14,84,41,48.81,53.66,4.914,-3.825,0.864,0.422,13,12,11,5
2026-04-14,2026-06-13,53,22,41.51,59.09,4.776,-1.876,2.055,0.853,7,2,8,5
