symbol,entry_ts,exit_ts,entry_price,exit_price,take_profit,stop_loss,raw_rr,rsi_at_entry,exit_reason,hold_hours,pnl_pct,pnl_usd,size_usd
TRX,2025-04-11 20:00:00+00:00,2025-04-13 16:00:00+00:00,0.2433,0.254,0.254,0.227,0.67,62.02585704610832,TP,44,4.39786272092068,4396.543362104404,99970.0
PAXG,2025-04-17 16:00:00+00:00,2025-04-21 00:00:00+00:00,3317.0,3380.0,3380.0,3235.0,0.77,66.63691670068523,TP,80,1.8993066023515224,1981.0514827349384,104303.93282907605
STX,2025-04-23 00:00:00+00:00,2025-04-30 00:00:00+00:00,0.816,0.817,0.95,0.634,0.75,79.33594673534343,TIMEOUT,168,0.12254901960784324,130.17306726332424,106221.22288687249
FLOKI,2025-05-01 04:00:00+00:00,2025-05-04 08:00:00+00:00,8.744e-05,7.66e-05,9.42e-05,7.66e-05,0.63,72.21043831768927,SL,76,-12.397072278133574,-13176.54993618445,106287.59468818898
LTC,2025-05-07 00:00:00+00:00,2025-05-09 04:00:00+00:00,91.6,96.5,96.5,81.5,0.49,66.22407487067751,TP,52,5.349344978165945,4977.842946236055,93055.18650514736
SHIB,2025-05-10 08:00:00+00:00,2025-05-17 00:00:00+00:00,1.586e-05,1.42e-05,1.89e-05,1.42e-05,1.81,79.0695061765607,SL,160,-10.466582597730145,-10254.552499249534,97974.21845668524
WLD,2025-05-23 04:00:00+00:00,2025-05-23 20:00:00+00:00,1.577,1.4,2.1,1.4,2.95,76.47830856783612,SL,16,-11.22384273937857,-9839.610934252201,87667.04205263116
WLD,2025-05-24 00:00:00+00:00,2025-05-31 00:00:00+00:00,1.355,1.1,2.1,1.1,2.94,61.0739320740429,SL,168,-18.81918819188191,-14637.704150822921,77780.74166417673
ICP,2025-06-09 04:00:00+00:00,2025-06-10 04:00:00+00:00,5.613,6.2,6.2,5.2,1.42,61.54871895083814,TP,24,10.457865668982713,6599.45258834369,63105.15737371917
ICP,2025-06-10 08:00:00+00:00,2025-06-13 08:00:00+00:00,5.936,5.4,7.2,5.4,2.36,65.54321892470098,SL,72,-9.029649595687324,-6290.306148863249,69662.79346950052
SEI,2025-06-24 04:00:00+00:00,2025-07-01 04:00:00+00:00,0.2623,0.283,0.342,0.23,2.47,74.84107545780641,TIMEOUT,168,7.891727030118184,4998.183451420559,63334.469531768744
BONK,2025-07-04 04:00:00+00:00,2025-07-05 04:00:00+00:00,1.681e-05,1.86e-05,1.86e-05,1.41e-05,0.66,63.706547827886595,TP,24,10.648423557406314,7271.985162343569,68291.65954133816
BONK,2025-07-05 08:00:00+00:00,2025-07-06 04:00:00+00:00,1.844e-05,2.03e-05,2.03e-05,1.67e-05,1.06,70.5756047553529,TP,20,10.08676789587852,7617.356983227372,75518.31331758754
BONK,2025-07-06 08:00:00+00:00,2025-07-06 12:00:00+00:00,2.176e-05,2.31e-05,2.31e-05,1.78e-05,0.34,79.4963514018821,TP,4,6.158088235294121,5116.49665212923,83085.79638084475
BONK,2025-07-06 20:00:00+00:00,2025-07-07 00:00:00+00:00,2.195e-05,2.31e-05,2.31e-05,1.78e-05,0.28,79.83420507143533,TP,4,5.2391799544419015,4618.304625725031,88149.37959536057
