symbol,entry_ts,exit_ts,entry_price,exit_price,take_profit,stop_loss,raw_rr,rsi_at_entry,exit_reason,hold_hours,pnl_pct,pnl_usd,size_usd
AAVE,2025-06-02 23:00:00+00:00,2025-06-03 14:00:00+00:00,255.54,272.0,272.0,222.0,0.49,58.112730238508256,TP,15,6.441261642012995,6439.329263520391,99970.0
AAVE,2025-06-06 16:00:00+00:00,2025-06-09 21:00:00+00:00,252.94,272.0,272.0,229.0,0.79,52.413716153247236,TP,77,7.5353838855064454,8013.541160780442,106345.49324280192
BTC,2025-06-09 22:00:00+00:00,2025-06-13 00:00:00+00:00,109973.74,103600.0,111700.0,103600.0,0.27,65.27378970230421,SL,74,-5.7956926808163525,-6623.922044379446,114290.42927525331
UNI,2025-06-16 05:00:00+00:00,2025-06-23 05:00:00+00:00,7.399,6.303,8.7,4.8,0.5,55.79145970050059,TIMEOUT,168,-14.812812542235438,-15938.870259508989,107601.91701652098
BTC,2025-06-23 23:00:00+00:00,2025-06-30 23:00:00+00:00,105538.17,107146.5,109400.0,96900.0,0.45,52.49882963829877,TIMEOUT,168,1.5239320522612831,1396.0445457990163,91608.05717863199
BNB,2025-07-01 00:00:00+00:00,2025-07-08 00:00:00+00:00,656.9,661.27,687.0,638.0,1.59,58.71914311209102,TIMEOUT,168,0.6652458517278131,618.3347607848314,92948.30763376551
XRP,2025-07-08 01:00:00+00:00,2025-07-10 17:00:00+00:00,2.265,2.5,2.5,2.1,1.42,58.23214788578175,TP,64,10.375275938189839,9701.973529834953,93510.51083011142
XRP,2025-07-10 18:00:00+00:00,2025-07-11 08:00:00+00:00,2.4966,2.6,2.6,2.3,0.53,76.9417935481842,TP,14,4.141632620363701,4272.117496108372,103150.566158454
ADA,2025-07-11 13:00:00+00:00,2025-07-11 15:00:00+00:00,0.748,0.777,0.777,0.654,0.31,79.35560648100774,TP,2,3.8770053475935864,4162.2846947325215,107358.23971241116
ADA,2025-07-11 16:00:00+00:00,2025-07-16 20:00:00+00:00,0.7375,0.777,0.777,0.654,0.47,78.47096858291226,TP,124,5.355932203389827,5969.380439470085,111453.62212934658
AVAX,2025-07-16 21:00:00+00:00,2025-07-21 08:00:00+00:00,22.79,26.0,26.0,21.0,1.81,79.01306684953,TP,107,14.085125054848621,16529.254737448857,117352.5593353456
UNI,2025-07-21 09:00:00+00:00,2025-07-21 13:00:00+00:00,10.457,11.0,11.0,9.5,0.57,74.31641634391208,TP,4,5.1926938892607755,6947.902160209108,133801.49703371405
HBAR,2025-07-21 16:00:00+00:00,2025-07-23 20:00:00+00:00,0.27936,0.241,0.299,0.241,0.51,79.75543854607334,SL,52,-13.73138602520046,-19315.24896488499,140664.96222185274
BNB,2025-07-23 21:00:00+00:00,2025-07-26 21:00:00+00:00,763.02,788.0,788.0,687.0,0.33,72.63318695109923,TP,72,3.273832927053029,3970.403554920168,121276.91435048776
HBAR,2025-07-26 22:00:00+00:00,2025-07-27 04:00:00+00:00,0.28478,0.299,0.299,0.255,0.48,69.74154578837607,TP,6,4.993328183158933,6250.2577807080925,125172.18078692329
HBAR,2025-07-27 10:00:00+00:00,2025-08-01 22:00:00+00:00,0.28199,0.239,0.299,0.239,0.4,69.13205581633282,SL,132,-15.245221461753971,-20023.622228194683,131343.59693251026
LINK,2025-08-08 10:00:00+00:00,2025-08-09 02:00:00+00:00,19.33,20.5,20.5,17.0,0.5,65.70961914607696,TP,16,6.052767718572176,6733.897335944144,111253.1927382907
ADA,2025-08-16 01:00:00+00:00,2025-08-19 18:00:00+00:00,0.9692,0.856,1.019,0.856,0.44,78.02050240632522,SL,89,-11.67973586463062,-13772.313367001665,117916.30843902842
DOGE,2025-09-08 10:00:00+00:00,2025-09-13 09:00:00+00:00,0.23377,0.287,0.287,0.21,2.24,60.30160742331323,TP,119,22.770244257175847,23699.6158860932,104081.51804794309
DOT,2025-09-13 13:00:00+00:00,2025-09-14 14:00:00+00:00,4.614,4.3,4.8,4.3,0.59,77.17569330680114,SL,25,-6.80537494581708,-8690.76846570201,127704.47675397793
AVAX,2025-09-15 21:00:00+00:00,2025-09-16 09:00:00+00:00,30.02,31.0,31.0,25.0,0.2,71.63888181311559,TP,12,3.2644903397734857,3882.860245138108,118942.3107745367
AVAX,2025-09-16 15:00:00+00:00,2025-09-17 22:00:00+00:00,29.9,31.0,31.0,25.0,0.22,71.29916936670632,TP,31,3.6789297658862927,4515.9409922562345,122751.48697132838
SOL,2025-09-18 08:00:00+00:00,2025-09-18 16:00:00+00:00,244.75,250.0,250.0,213.0,0.17,71.70806735507867,TP,8,2.1450459652706844,2728.3071074344994,127191.07896087499
NEAR,2025-09-19 00:00:00+00:00,2025-09-22 06:00:00+00:00,3.176,2.8,3.4,2.8,0.6,76.54557015039235,SL,78,-11.838790931989934,-15371.657350333573,129841.44612941326
BNB,2025-09-29 14:00:00+00:00,2025-10-02 20:00:00+00:00,1012.16,1083.0,1083.0,947.0,1.09,61.08867064009311,TP,78,6.998893455580149,8006.812305387813,114401.11720809323
BTC,2025-10-02 21:00:00+00:00,2025-10-03 16:00:00+00:00,120652.01,123300.0,123300.0,113300.0,0.36,71.6277028686519,TP,19,2.194733432124343,2684.9160777395045,122334.49577248661
BTC,2025-10-04 12:00:00+00:00,2025-10-05 02:00:00+00:00,121973.26,123300.0,123300.0,115600.0,0.21,73.1225245213905,TP,14,1.087730212343267,1359.058112029027,124944.41145486305
BTC,2025-10-08 01:00:00+00:00,2025-10-10 20:00:00+00:00,121914.09,115700.0,126200.0,115700.0,0.69,63.71672302773346,SL,67,-5.097105674988015,-6433.959201615735,126227.69885246421
TAO,2025-10-25 09:00:00+00:00,2025-10-31 13:00:00+00:00,391.2,462.0,462.0,320.0,1.0,53.04526573225258,TP,148,18.098159509202457,21667.455758040425,119721.87418849453
AAVE,2025-12-04 01:00:00+00:00,2025-12-11 01:00:00+00:00,196.88,191.66,225.0,171.0,1.09,59.530439260188736,TIMEOUT,168,-2.651361235270215,-3746.4929772664927,141304.50907360675
AAVE,2025-12-11 21:00:00+00:00,2025-12-15 15:00:00+00:00,196.41,183.0,231.0,183.0,2.58,56.816192238748364,SL,90,-6.8275546051626685,-9386.21439882481,137475.4936669039
UNI,2025-12-22 08:00:00+00:00,2025-12-24 07:00:00+00:00,6.246,5.6,7.0,5.6,1.16,63.14999138774539,SL,47,-10.342619276336867,-13239.839008908993,128012.43722855338
UNI,2025-12-29 02:00:00+00:00,2026-01-05 02:00:00+00:00,6.287,5.974,7.0,5.6,1.04,64.8011158199126,TIMEOUT,168,-4.978527119452835,-5710.557051367441,114703.74499024643
XRP,2026-01-05 03:00:00+00:00,2026-01-06 01:00:00+00:00,2.1441,2.4,2.4,2.0,1.78,74.06230043696746,TP,22,11.935077654960125,13000.61773690831,108927.80183550257
BTC,2026-01-06 02:00:00+00:00,2026-01-13 02:00:00+00:00,93771.82,91118.3,99800.0,89200.0,1.32,73.1985455282846,TIMEOUT,168,-2.8297627154938487,-3448.215096202643,121855.2734942252
SOL,2026-01-13 03:00:00+00:00,2026-01-19 00:00:00+00:00,138.37,132.0,154.0,132.0,2.45,61.01795076486424,SL,141,-4.603599046035994,-5447.7161097128965,118336.024819619
BNB,2026-01-19 01:00:00+00:00,2026-01-20 17:00:00+00:00,918.88,892.0,948.0,892.0,1.08,53.01939555584373,SL,40,-2.925300365662545,-3300.3410114256467,112820.58588462793
DOT,2026-03-02 16:00:00+00:00,2026-03-09 16:00:00+00:00,1.574,1.498,1.8,1.4,1.31,57.34673459693607,TIMEOUT,168,-4.828462515883104,-5284.971560556313,109454.5425831004
NEAR,2026-03-09 17:00:00+00:00,2026-03-13 00:00:00+00:00,1.239,1.4,1.4,1.1,1.17,56.117983719946366,TP,79,12.99435028248586,13528.03846931871,104107.07865519194
TAO,2026-03-13 01:00:00+00:00,2026-03-15 00:00:00+00:00,221.0,254.0,254.0,185.0,0.92,73.76882273830854,TP,47,14.93212669683258,17554.887055050156,117564.54664139649
NEAR,2026-03-15 01:00:00+00:00,2026-03-22 01:00:00+00:00,1.32,1.292,1.7,1.1,1.71,60.50018467208138,TIMEOUT,168,-2.121212121212123,-2864.4503617540763,135038.3741969778
TAO,2026-03-23 13:00:00+00:00,2026-03-24 03:00:00+00:00,284.6,311.0,311.0,251.0,0.78,71.98997651043918,TP,14,9.27617709065354,12253.331933737161,132094.63137657574
TAO,2026-03-24 04:00:00+00:00,2026-03-25 00:00:00+00:00,313.8,344.0,344.0,283.0,0.98,78.73119594749349,TP,20,9.623964308476733,13883.662521395885,144261.3675236434
SOL,2026-03-25 01:00:00+00:00,2026-03-26 18:00:00+00:00,91.32,86.0,96.0,86.0,0.88,55.633626009111836,SL,41,-5.825667980727106,-9207.477404988442,158050.15726006497
TAO,2026-04-01 07:00:00+00:00,2026-04-08 07:00:00+00:00,313.8,347.0,347.0,283.0,1.08,62.72604683625259,TP,168,10.579987253027403,15738.089451076336,148753.38764300468
TAO,2026-04-08 08:00:00+00:00,2026-04-10 00:00:00+00:00,343.9,300.0,378.0,300.0,0.77,72.33717885356303,SL,40,-12.765338761267806,-20985.29743771248,164392.7970120575
NEAR,2026-04-10 01:00:00+00:00,2026-04-17 01:00:00+00:00,1.367,1.423,1.5,1.3,1.94,70.20180519061797,TIMEOUT,168,4.096561814191664,5871.252528859859,143321.46798127537
AAVE,2026-04-17 02:00:00+00:00,2026-04-18 18:00:00+00:00,113.62,106.0,122.0,106.0,1.1,66.61631088988229,SL,40,-6.70656574546735,-9999.705364244202,149103.21830517397
BTC,2026-04-18 19:00:00+00:00,2026-04-25 19:00:00+00:00,75651.78,77330.01,84500.0,73000.0,3.34,64.07686265420404,TIMEOUT,168,2.218361550779104,3083.9676332801987,139020.06335248137
BTC,2026-04-25 20:00:00+00:00,2026-05-02 20:00:00+00:00,77330.0,78451.38,85400.0,73400.0,2.05,63.04753843575004,TIMEOUT,168,1.4501228501228562,2059.4467999171025,142018.7813565329
TAO,2026-05-02 21:00:00+00:00,2026-05-09 21:00:00+00:00,289.3,309.0,347.0,249.0,1.43,67.42555533299512,TIMEOUT,168,6.809540269616312,9805.17921007934,143991.79418659667
UNI,2026-05-09 22:00:00+00:00,2026-05-10 17:00:00+00:00,3.726,4.05,4.2,3.5,2.1,77.69491993255954,OPEN,19,8.69565217391304,13365.626874292655,153704.7090543656
